App_ID,Tender_ID,Agency,Procuring_Entity,Package_No,Supplier,Contract_Value_BDT,Tenders_Received,Responsive,Rate_Band_Clause,Estimated_Cost_BDT_TO_FILL,Notice_PDF
189321,775105,Chittagong Development Authority,Project Director(Rajib Das),KRP/WD2,Spectra Engineers Ltd.,8812446857.0,2,2,,,CDA_Tender_775105.pdf
168179,581310,Khulna Development Authority (KDA),Office of Exen (works),S-WD-01.,Ataur Rahman Khan Ltd & Mahabub Brothers (Pvt) Ltd JV ( JVCA Partners [Business Share]: MAHABUB,1434577898.0,2,1,,,KDA_Tender_581310.pdf
190430,783087,Khulna Development Authority (KDA),Office of the Project Director (KDA Bipone,KDA/BBP/W1/2022-23,MAHABUB BROTHERS(PVT)LIMITED,965147418.6,2,1,,,KDA_Tender_783087.pdf
173208,538256,Chittagong Development Authority,Project Director (CCORRP),CCORRP-WD3,Spectra Engineers Ltd.,960108458.0,4,1,,,CDA_Tender_538256.pdf
116040,209736,Rajdhani Unnayan Kartripakkha (RAJUK),Office of the Chief Engineer,7-1-2,The United Construction Co.,933196527.9,6,6,,,RAJUK_Tender_209736.pdf
164555,448324,Cox's Bazar Development Authority,Cox's Bazar Development Authority,CoxDA/Project/eGP WD-01/2020,NATIONAL DEVELOPMENT ENGINEERS LTD.,929999504.7,2,2,,,COXDA_Tender_448324.pdf
57195,112012,Rajshahi Development Authority,Office of the Chairman,RDA/RUETROAD/W/2017-2018/01,Abdul Monem Ltd,899353316.0,1,1,,,RDA_Tender_112012.pdf
164555,509251,Cox's Bazar Development Authority,Cox's Bazar Development Authority,CoxDA/Project/eGP WD-02/2020,Taher Brothers Ltd.,834238358.8,7,3,,,COXDA_Tender_509251.pdf
195388,857646,Rajdhani Unnayan Kartripakkha (RAJUK),Construction of multi-storied apartment,RAJUK/PD_9apt/Bldg_01,National Development Engineers Ltd. - M/S. Niaz Traders JV (NDE-NT JV) ( JVCA Partners [Business Share]: NATIONAL,831424240.5,4,3,,,RAJUK_Tender_857646.pdf
197063,941420,Khulna Development Authority (KDA),Office of the Project Director (3Link Road),KDA/3link/WD-1/2023-24,"DIENCO-MIR AKHTER JV ( JVCA Partners [Business Share]: DIENCO LIMITED [50.000%] , MIR AKHTER HOSSAIN",806242305.0,2,2,,,KDA_Tender_941420.pdf
