App_ID,Tenders_In_Package,Contracts_Awarded,Tender_IDs,Agency,Procuring_Entity,Package_No,Suppliers,Distinct_Suppliers,Contract_Value_Total_BDT,Contract_Value_Total_Crore,Rate_Band_Clause,PKG_Estimated_Cost_BDT__FILL_FROM_eprocure,Ratio_Contract_over_Estimate__AUTO
189321,1,1,775105,Chittagong Development Authority,Project Director(Rajib Das),KRP/WD2,Spectra Engineers Ltd.,1,8812446857.0,881.245,,,
197063,5,4,868640;932066;941420;975516;991635,Khulna Development Authority (KDA),Office of the Project Director (3Link Road),KDA/3link/WD-4/2023-24,DIENCO LIMITED;DIENCO-MIR AKHTER JV ( JVCA Partners [Bu;IH-RSE (JV) ( JVCA Partners [Business Sh;IH-RSE-SHJ (JV) ( JVCA Partners [Busines,4,2476908633.0,247.691,,,
164555,5,4,448324;448434;461085;461209;509251,Cox's Bazar Development Authority,Cox's Bazar Development Authority,CoxDA/Project/eGP/OTM-01/2020,Bangla Trac Limited;NATIONAL DEVELOPMENT ENGINEERS LTD.;Taher Brothers Ltd.,3,1799937863.5,179.994,,,
188860,57,34,1008542;1008543;1008544;1008545;1008546;1008547;1008548;1011370;1011371;1060890;1060891;1060892;1060893;1060894;1060895;1066944;1066945;1066946;1069558;1069559;1069560;1069561;1069562;1069563;1069564;1071058;1071059;778651;778652;778653;789917;789918;789920;789921;789948;807901;807902;807903;807938;827548;858747;870250;870251;870252;901824;902293;920944;920945;920946;932337;957252;957253;957254;957255;957256;975321;975322,Rajdhani Unnayan Kartripakkha (RAJUK),Purbachal New Town Project,RAJUK/PD_Purbachal/125,AK- Amin Development Co. Limited;Aliza Enterprise;CONVOY SERVICE;Concept Elevators & Engineering Ltd.;HAIDER & CO.;KSBL-TSE JOINT VENTURE ( JVCA Partners [;Khokan Construction & Engineering Ltd;M/S Laila Enterprise;M/S RAHMAN ENGINEERING - M/S TANNI ENTER;M/S Udayan Builders;M/S. A. R. Enterprise;M/S. Maliha Enterprise;M/S. Niaz Traders;M/S. Sharif & Sons;M/s Mithila Enterprise;M/s Shafique and Sons;M/s. M.R. Construction;M/s. SS & MT (JV) ( JVCA Partners [Busin;Rana Builders (Pvt.) Ltd. - M/s. Shafiqu;SS-RI JV ( JVCA Partners [Business Share;SSL- CONVOY JV ( JVCA Partners [Business;Starlite Services Limited;TCEL TE JV ( JVCA Partners [Business Sha,23,1517061093.78,151.706,,,
168179,2,1,502973;581310,Khulna Development Authority (KDA),Office of Exen (works),S-WD-01.,Ataur Rahman Khan Ltd & Mahabub Brothers,1,1434577898.0,143.458,,,
188629,33,13,1044320;1058290;1058291;1058292;1058293;1060377;1060378;1060379;1060380;1060381;1207633;1207634;1207635;1207636;1207637;1266470;753302;753303;753305;753306;753307;753308;753309;753310;753311;753312;905912;905913;905914;905915;905916;926607;948434,Rajdhani Unnayan Kartripakkha (RAJUK),Development of Residential and,RAJUK/PD_JHILMIL/DC-9,Anik Trading and Construction-Fastbuild ;Convoy Service JV ( JVCA Partners [Busin;Gess Bangladesh;HTMS Limited;M/S. Niaz Traders;MULTITRADE INTERNATIONAL;Momotaj Engineers Ltd.;SUNTECH ENERGY LTD.;Starlite Services Limited;WALTON HI-TECH INDUSTRIES PLC.,10,1005187445.08,100.519,,,
190430,1,1,783087,Khulna Development Authority (KDA),Office of the Project Director (KDA Bipone,KDA/BBP/W1/2022-23,MAHABUB BROTHERS(PVT)LIMITED,1,965147418.6,96.515,,,
173208,1,1,538256,Chittagong Development Authority,Project Director (CCORRP),CCORRP-WD3,Spectra Engineers Ltd.,1,960108458.0,96.011,,,
116040,1,1,209736,Rajdhani Unnayan Kartripakkha (RAJUK),Office of the Chief Engineer,7-1-2,The United Construction Co.,1,933196527.9,93.32,,,
195388,2,2,1000945;857646,Rajdhani Unnayan Kartripakkha (RAJUK),Construction of multi-storied apartment,RAJUK/PD-9apt/Bldg-03,Momotaj Engineers Ltd.;National Development Engineers Ltd. - M/,2,922876914.69,92.288,,,
57195,1,1,112012,Rajshahi Development Authority,Office of the Chairman,RDA/RUETROAD/W/2017-2018/01,Abdul Monem Ltd,1,899353316.0,89.935,,,
195732,16,11,1000530;1003623;1008266;1017448;860503;935084;935090;935092;935093;959288;962656;962658;962659;974362;982350;984794,Rajdhani Unnayan Kartripakkha (RAJUK),Uttara Apartment Project,UAP/EM/2023-2024/GD-11,Donatien International;Gess Bangladesh;M/S Sunny Construction;M/s. Active International;NDE-UCC-SC JV ( JVCA Partners [Business ;Net Planet Soft & Engineering;Nur Enterprise-Amin Trading Corporation ;SS-RC (JV) ( JVCA Partners [Business Sha;UCC-SC JV ( JVCA Partners [Business Shar,9,861400114.65,86.14,,,
186674,4,2,727849;755321;781266;848555,Chittagong Development Authority,Project Director (Loop Road),20121321143465744654654-3,SUNNY-RS-TML JV ( JVCA Partners [Busines;Spectra Engineers Ltd.,2,842929183.65,84.293,,,
162585,36,14,427820;427825;427828;427832;427834;427848;427851;427855;427858;427861;427863;466081;466089;466094;466100;466105;466107;466108;466109;528756;528758;535709;535710;535712;535717;535718;535719;590668;601508;601511;601512;601514;601516;601518;601519;601520,Rajdhani Unnayan Kartripakkha (RAJUK),Purbachal New Town Project,Rajuk/PD_Purbachal/47,H RAHMAN ENTERPRISE;M/S Udayan Builders;M/S. A. R. Enterprise;M/S. AMIN TRADING CORPORATION;M/S. Alam & Co.;M/S. Niaz Traders;MOZAHAR ENTERPRISE (PVT.) LTD. & M/S REZ;Momotaj Engineers Ltd.;Rana Builders (Pvt.) Ltd. - M/s Shafique;SC & ARE JV ( JVCA Partners [Business Sh;SS-RI JV ( JVCA Partners [Business Share;Starlite Services Limited;UCCL The United Construction Company Lim;Udayan-Convoy JV ( JVCA Partners [Busine,14,699665678.93,69.967,,,
70029,2,1,133881;223246,Chittagong Development Authority,Project Director (CDA Square),e-TENDER CDAsqt23,M Jamal & Company Limited,1,632060295.6,63.206,,,
177033,10,5,597090;637168;637169;637171;671803;671804;671805;699109;699111;713439,Rajdhani Unnayan Kartripakkha (RAJUK),Uttara Apartment Project,UAP/EM/SS/GD/01,Concept Elevators & Engineering Ltd.;M/S Chowdhury Enterprise;M/s. SS & MT (JV) ( JVCA Partners [Busin;NATIONAL DEVELOPMENT ENGINEERS LTD.,4,591908985.2,59.191,,,
45876,2,1,110297;99744,Chittagong Development Authority,Project Director (Saltgola),e-TENDER CD1/e-saltgola/1458,The Engineers & Architects Limited,1,495240760.3,49.524,,,
153243,5,4,311188;312476;312478;312479;322658,Rajdhani Unnayan Kartripakkha (RAJUK),Office of the Chief Engineer,PD_9Apt.Project/2,MAHABUB BROTHERS(PVT)LIMITED;MRC-Techbay-JV ( JVCA Partners [Business;UCCL The United Construction Company Lim,3,463293778.07,46.329,,,
189135,1,1,752801,Rajdhani Unnayan Kartripakkha (RAJUK),Uttara Lake Development Project,Rajuk/PD_UL/,M/s. Udayan Builders (JV) ( JVCA Partner,1,452992528.2,45.299,,,
149292,3,3,270190;270651;282186,Cox's Bazar Development Authority,Cox's Bazar Development Authority,W-3 Kha,Khan and Sons (Bangladesh) Limited;S.S Rahman International,2,424340337.84,42.434,,,
163453,2,2,446869;447380,Rajdhani Unnayan Kartripakkha (RAJUK),Construction of multi-storied apartment,Rajuk/PD_9apt/06,HSL-RE JV. ( JVCA Partners [Business Sha,1,422255606.94,42.226,,,
50320,1,1,98996,Rajshahi Development Authority,Office of the Chairman,RDA/Courtroad/W/2016-2017/01,SHAMIM ENTERPRISE (PVT) LTD,1,356723044.2,35.672,,,
127121,12,6,251224;251227;292111;293000;293004;293018;301503;301505;320832;339042;339493;339496,Rajdhani Unnayan Kartripakkha (RAJUK),Office of the Chief Engineer,Rajuk/PD_Purbachal/25,M/S Razin International;M/S. A. R. Enterprise;M/S. Niaz Traders;M/s Shafique and Sons;NIAZ-NOONA JV. ( JVCA Partners [Business;Rafiq Construction Co. (Pvt.) Ltd and M/,6,336857141.41,33.686,,,
165428,5,4,476403;476405;476406;476407;476408,Rajdhani Unnayan Kartripakkha (RAJUK),Development of Residential and,PD_JHILMIL/06,M/s. Udyan Builders-Starlite Services Lt;MEPL-RE JV. ( JVCA Partners [Business Sh;Rafiq Construction Co. (Pvt.) Ltd. - Hai;SA-TANNI-DAWN-JV ( JVCA Partners [Busine,4,300677060.72,30.068,,,
160347,1,1,383988,Rajshahi Development Authority,Office of the Chairman,RDA/BB Square/W/2019-2020/01,The Engineers & Architects Limited,1,292545247.3,29.255,,,
