agency,agency_id,amended,amendment_changed_fields,amendment_no,amendment_no_printed,app_id,budget_type,category,city,closing_date,country,development_partner,district,district_original,document_price_original,document_price_taka,eligibility_amended,eligibility_categories,eligibility_chars,eligibility_clauses,eligibility_numbering,eligibility_page,eligibility_published,eligibility_source_field,eligibility_substantive,evaluation_type,event_type,invitation_for,invitation_ref,inviting_officer,inviting_officer_designation,inviting_officer_id,last_selling_date,lots,method,ministry,ministry_id,notice_file,notice_pages,opening_date,package_description,package_no,payment_mode,phone,premeeting_end,premeeting_start,procurement_nature,procurement_type,procuring_entity,procuring_entity_code,procuring_entity_id,project,project_code,project_id,published_date,security_last_date,security_valid_until,source_of_funds,status,status_original,tender_id,tender_valid_until,thana,advertised_date,award_agency,award_agency_id,award_development_partner,award_district,award_file,award_for,award_invitation_ref,award_method,award_ministry,award_ministry_id,award_officer,award_officer_designation,award_officer_id,award_package_name,award_package_no,award_pages,award_procuring_entity,award_procuring_entity_code,award_procuring_entity_id,award_project,award_project_id,award_source_of_funds,award_template,beneficial_owners,bid_counts_printed,contract_description,contract_no,contract_signed_on_time,contract_value_original,contract_value_taka,noa_date,performance_security_on_time,signed_date,tenders_received,tenders_responsive,tenders_sold,winner,winner_id,winner_location,winner_page,winner_tenderer_id,work_completion_date,work_location,work_start_date,notice_document_found,award_document_found,outcome_source
Chittagong Development Authority,og0009,no,,,,196376,Own Fund,Electrical domestic appliances; Domestic appliances; Installation services of electrical and mechanical equipment;,Chittagong,2024-08-05,Bangladesh,,Chattogram,Chattogram,4000,4000,no,cert_licence_class;cert_other;cert_tin;cert_trade_licence;cert_vat;experience_general;experience_similar;financial_credit;financial_liquid;financial_turnover;other;subcontract,1182,3,(n),1,yes,eligibility,yes,Lot wise,TENDER,Tender - Single Lot,PD/CDASQR/lift/E-65/01,Kazi Kader Newaz,Assistant Engineer,pp0006,2024-08-04,1,Open Tendering Method (OTM),Ministry of Housing and Public Works,og0001,Tender Notice_PDFs/CDA_Tender_1001782.pdf,2,2024-08-05,"Supply, Installation, Testing & Commissioning of Lift at CDA SQUARE Project (Lot-2).",PD/CDAsqr/lift/65/02,Payment through Bank,031-625562,2024-07-15,2024-07-08,Works,NCT,Project Director (CDA Square),,og0010,"Construction of CDA Square at Nasirabad, Chittagong",CDA Square-02,pr0005,2024-07-08,2024-08-05,2024-12-01,Own fund,Contract Awarded,Contract Awarded,1001782,2024-11-03,Kotowali,2024-07-08,Chittagong Development Authority,og0009,NA,Chattogram,Contract_Awards_PDFs/Tender_1001782.pdf,Works,PD/CDASQR/lift/E-65/01,OTM,Ministry of Housing and Public Works,og0001,Kazi Kader Newaz,Assistant Engineer,pp0006,"Supply, Installation, Testing & Commissioning of Lift at CDA SQUARE Project (Lot-2).",PD/CDAsqr/lift/65/02,1,Project Director (CDA Square),,og0010,"Construction of CDA Square at Nasirabad, Chittagong",pr0005,Own Fund Own fund,supplier,0,yes,"Supply, Installation, Testing & Commissioning of Lift at CDA SQUARE Project (Lot-2).",PD/CDAsqr/lift/65/02/015,yes,52490000.531,52490000.531,2024-08-22,yes,2024-09-09,1,1,3,CPDL LTD.,co0007,"CPDL LTD. 81/A S.S Khaled Road, Chittagong-4000 Tel:-031-2854442",1,,2024-12-31,"Nasirabad, Chattogram",2024-08-10,yes,yes,award notice
Chittagong Development Authority,og0009,no,,,,196376,Own Fund,Non-electric domestic appliances; Domestic appliances; Emergency and security equipment; Miscellaneous equipment n.e.c.; Miscellaneous equipment;,Chittagong,2024-07-30,Bangladesh,,Chattogram,Chattogram,4000,4000,no,cert_licence_class;cert_other;cert_tin;cert_trade_licence;cert_vat;experience_general;experience_similar;financial_credit;financial_liquid;financial_turnover;other;subcontract,1138,3,(n),1,yes,eligibility,yes,Lot wise,TENDER,Tender - Single Lot,PD/CDASQR/e64/02,Kazi Kader Newaz,Assistant Engineer,pp0006,2024-07-29,1,Open Tendering Method (OTM),Ministry of Housing and Public Works,og0001,Tender Notice_PDFs/CDA_Tender_1001843.pdf,2,2024-07-30,"CCTV, IP System & Fire Fighting Remaining Works at CDA SQUARE Project, Chattogram.",PD/CDAsqr/CCTV/e-64,Payment through Bank,031-625562,2024-07-14,2024-07-08,Works,NCT,Project Director (CDA Square),,og0010,"Construction of CDA Square at Nasirabad, Chittagong",CDA Square-02,pr0005,2024-07-08,2024-07-30,2024-11-25,Own fund,Contract Awarded,Contract Awarded,1001843,2024-10-28,Kotowali,2024-07-08,Chittagong Development Authority,og0009,NA,Chattogram,Contract_Awards_PDFs/Tender_1001843.pdf,Works,PD/CDASQR/e64/02,OTM,Ministry of Housing and Public Works,og0001,Kazi Kader Newaz,Assistant Engineer,pp0006,"CCTV, IP System & Fire Fighting Remaining Works at CDA SQUARE Project, Chattogram.",PD/CDAsqr/CCTV/e-64,1,Project Director (CDA Square),,og0010,"Construction of CDA Square at Nasirabad, Chittagong",pr0005,Own Fund Own fund,supplier,0,yes,"CCTV, IP System & Fire Fighting Remaining Works at CDA SQUARE Project, Chattogram.",PD/CDAsqr/CCTV/e-64/017,yes,24247478.309,24247478.309,2024-08-25,yes,2024-09-09,2,2,6,MS TECHNOLOGIES LIMITED,co0008,"MM Tower (5th), CDA Avenue Road, Besides Sanmar Ocean City, PO: Khulshi, PS: Panchlaish. Chattogram.",1,,2024-12-31,"Nasirabad, Chattogram",2024-08-05,yes,yes,award notice
Chittagong Development Authority,og0009,no,,,,204126,Development,"Electromechanical equipment; Electronic, electromechanical and electrotechnical supplies;",Chattogran,2025-01-27,Bangladesh,,Chattogram,Chattogram,4000,4000,no,equipment;experience_general;experience_similar;financial_credit;financial_liquid;other,979,5,(n),1,yes,eligibility,yes,Lot wise,TENDER,Tender - Single Lot,PD/wl/est/exc/125/551,Ahmed Mainuddin,Executive Engineer,pp0123,2025-01-26,1,Open Tendering Method (OTM),Ministry of Housing and Public Works,og0001,Tender Notice_PDFs/CDA_Tender_1002615.pdf,2,2025-01-27,Procurment of Excavator (Long Boom) under Chittagong Water Logging Mitigation Project.,PD/waterlogging/est/excav/125,Payment through Bank,880-1817748289,2025-01-05,2024-12-26,Goods,NCT,Project Director(Water Logging),,og0085,"Re-excavation, Expansion and Development of Khal for Mitigation Water logging at Chattogram City",224149200,pr0092,2024-12-26,2025-01-27,2025-05-25,"Government, Own fund",,,1002615,2025-04-27,Chattogram City Corporation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,no,tender notice status only
Chittagong Development Authority,og0009,yes,Eligibility of Consultant;TDS/PDS--C. Qualification Criteria--,1,1,51274,Own Fund,"Site preparation work; Construction work; Works for complete or part construction and civil engineering work;Building demolition and wrecking work and earthmoving work;Test drilling and boring work;Building construction work;Engineering works and construction works;Construction work for pipelines, communication and power lines, for highways, roads, airfields and railways; flatwork;Construction work for water projects;Construction works for plants, mining and manufacturing and for buildings relating to the oil and gas industry;Roof works and other special trade construction works",Chittagong,2017-05-31,Bangladesh,,Chittagong,Chittagong,4000,4000,yes,experience_count;experience_general;experience_similar;financial_credit;financial_liquid;financial_turnover;other;subcontract,773,2,(a),1,yes,eligibility,yes,Lot wise,TENDER,Tender - Single Lot,pd/silimpur-R/A/A/E-17,Mohammad Hasan,Project Director,pp0008,2017-05-30,1,Open Tendering Method (OTM),Ministry of Housing and Public Works,og0001,Tender Notice_PDFs/CDA_Tender_100483.pdf,2,2017-05-31,"Site Development/Improvement, Retaining wall & R.C.C L-Canal & ancillary works.",e-TENDERSRA-06,Payment through Bank,031-625562,2017-05-23,2017-05-02,Works,NCT,Project Director(Silimpur),,og0013,Widening and Improvement of Silimpur Residential Area (East),SRA,pr0007,2017-05-02,2017-05-31,2017-09-26,Own fund,Contract Awarded,Contract Awarded,100483,2017-08-29,Kotowali,2017-05-02,Chittagong Development Authority,og0009,NA,Chittagong,Contract_Awards_PDFs/Tender_100483.pdf,Works,pd/silimpur-R/A/A/E-17,OTM,Ministry of Housing and Public Works,og0001,Mohammad Hasan,Project Director,pp0008,Site Development/Improvement Retaining wall & R.C.C L-Canal & ancillary works of Silimpur R/A East,e-TENDERSRA-06,1,Project Director(Silimpur),,og0013,Widening and Improvement of Silimpur Residential Area (East),pr0007,Own Fund Own fund,supplier,0,yes,"Site Development/Improvement, Retaining wall & R.C.C L-Canal & ancillary works of Silimpur R/A (East)",pd/silimpur-R/A/E-17/118,yes,53515977.894,53515977.894,2017-06-19,yes,2017-07-03,4,4,4,M/S. Raquib & Brothers,co0012,"34/B, Buddhist Temple Road, Nandankanan, Chittagong.",1,,2018-06-20,Silimpur,2017-06-21,yes,yes,award notice
Chittagong Development Authority,og0009,yes,Eligibility of Consultant,1,1,204772,Own Fund,"Furniture; Manufactured goods, furniture, handicrafts, special-purpose products and associated consumables; Seats, chairs and associated parts; Non-domestic furniture; Domestic furniture; Miscellaneous furniture and equipment; School furniture;",Chittagong,2024-09-02,Bangladesh,,Chattogram,Chattogram,1000,1000,yes,cert_vat;experience_count;experience_general;experience_similar;financial_credit;financial_liquid;financial_turnover;geographic;other,1015,7,n.,1,yes,eligibility,yes,Lot wise,TENDER,Tender - Single Lot,PD/CM Banglow/E-113/2024,A. H. M. Mesbah Uddin,Project Director,pp0024,2024-09-01,1,Open Tendering Method (OTM),Ministry of Housing and Public Works,og0001,Tender Notice_PDFs/CDA_Tender_1006947.pdf,2,2024-09-02,"Supply Furniture Materials for CDA Chairman Banglow at CDA Hill, Chattogram.",PD/CM Banglow/E-113,Payment through Bank,031-624401,2024-08-28,2024-08-19,Goods (Framework Agreement),NCT,"Project Director(M.Uddin), Chittagong Development Authority",,og0031,Not applicable,Not applicable,pr0093,2024-08-19,2024-09-02,2024-12-29,Own Fund,Re-Tendered,Re-Tendered,1006947,2024-12-01,Chattogram City Corporation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,no,tender notice status only
Chittagong Development Authority,og0009,no,,,,51551,Development,"Site preparation work; Construction work; Works for complete or part construction and civil engineering work;Building demolition and wrecking work and earthmoving work;Test drilling and boring work;Building construction work;Engineering works and construction works;Construction work for pipelines, communication and power lines, for highways, roads, airfields and railways; flatwork;Construction work for water projects;Construction works for plants, mining and manufacturing and for buildings relating to the oil and gas industry;Roof works and other special trade construction works",Chittagong,2017-05-21,Bangladesh,,Chittagong,Chittagong,2000,2000,no,experience_count;experience_general;experience_similar;financial_credit;financial_liquid;financial_turnover;other;subcontract,766,2,(a),1,yes,eligibility,yes,Lot wise,TENDER,Tender - Single Lot,pd/dcroad/25/est-19,Mohammad Hasan,Project Director,pp0008,2017-05-21,1,Open Tendering Method (OTM),Ministry of Housing and Public Works,og0001,Tender Notice_PDFs/CDA_Tender_101083.pdf,2,2017-05-21,"Construction work of affected area's boundary wall, column septic tank, water tank, seal coat, road marking and ancillary work.",e-TENDERDC-06,Payment through Bank,880-1819625067,2017-05-09,2017-05-04,Works,NCT,Project Director(DC Road),,og0019,Widening and Improvement of DC Road,5015,pr0010,2017-05-04,2017-05-21,2017-08-17,"Government, Own fund",Contract Awarded,Contract Awarded,101083,2017-07-20,Kotowali,2017-05-04,Chittagong Development Authority,og0009,NA,Chittagong,Contract_Awards_PDFs/Tender_101083.pdf,Works,pd/dcroad/25/est-19,OTM,Ministry of Housing and Public Works,og0001,Mohammad Hasan,Project Director,pp0008,Construction work of affected areas boundary wall column septic tank water tank silk coat road marking and ancillary work under the project of widening and improvement of DC Road.,e-TENDERDC-06,1,Project Director(DC Road),,og0019,Widening and Improvement of DC Road,pr0010,"Development Government, Own fund",supplier,0,yes,"Construction work of affected area's boundary wall, column septic tank, water tank, silk coat, road marking and ancillary work under the project of widening and improvement of DC Road.",PD/DC Road/25/Est-19/117,yes,3963689.307,3963689.307,2017-06-11,yes,2017-06-15,3,2,5,M/S. Mohshin & Brothers,co0022,"Kader Villa 1st Floor ,O R, Nizam Road Chittagong",1,,2017-06-29,DC Road,2017-06-01,yes,yes,award notice
Chittagong Development Authority,og0009,no,,,,206817,Own Fund,Other building completion work; Building completion work;,Chittagong,2024-10-21,Bangladesh,,Chattogram,Chattogram,2000,2000,no,cert_licence_class;cert_other;cert_tin;cert_trade_licence;cert_vat;experience_general;experience_similar;financial_credit;financial_liquid;financial_turnover;other;subcontract,1030,3,(n),1,yes,eligibility,yes,Lot wise,TENDER,Tender - Single Lot,PD/CDASQR/S.P/e68,Kazi Kader Newaz,Assistant Engineer,pp0006,2024-10-20,1,Open Tendering Method (OTM),Ministry of Housing and Public Works,og0001,Tender Notice_PDFs/CDA_Tender_1023323.pdf,2,2024-10-21,"Swimming Pool, Jacuzzi, Sauna, Fountain & Ancillary Work at CDA Square Project.",PD/CDAsqr/S.P/E68,Payment through Bank,031-625562,2024-10-14,2024-10-07,Works,NCT,Project Director (CDA Square),,og0010,Not applicable,Not applicable,pr0093,2024-10-06,2024-10-21,2025-01-17,Own Fund,Re-Tendered,Re-Tendered,1023323,2024-12-20,Kotowali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,no,tender notice status only
Chittagong Development Authority,og0009,no,,,,204202,Own Fund,Building completion work; Construction work; Plastering work; Joinery and carpentry installation work; Floor and wall covering work; Painting and glazing work; Other building completion work;,Chittagong,2024-10-23,Bangladesh,,Chattogram,Chattogram,2000,2000,no,cert_other;cert_tin;cert_trade_licence;cert_vat;experience_general;experience_similar;financial_credit;financial_liquid;financial_turnover;other;subcontract,850,3,(n),1,yes,eligibility,yes,Lot wise,TENDER,Tender - Single Lot,CD1/dewanhat/remwrk/e39,Kazi Kader Newaz,Executive Engineer,pp0006,2024-10-22,1,Open Tendering Method (OTM),Ministry of Housing and Public Works,og0001,Tender Notice_PDFs/CDA_Tender_1023333.pdf,2,2024-10-23,"Remaining Works (Civil & finishing ) at CDA Dewanhat Apartment Complex, Chattogram.",CD1/dewanhat/rw/e/39,Payment through Bank,880-189545106,2024-10-15,2024-10-08,Works,NCT,"Construction Division-1, Chattogram Development Authority",2001,og0021,Not applicable,Not applicable,pr0093,2024-10-07,2024-10-23,2025-02-18,Own Fund,Contract Awarded,Contract Awarded,1023333,2025-01-21,Kotowali,2024-10-07,Chittagong Development Authority,og0009,NA,Chattogram,Contract_Awards_PDFs/Tender_1023333.pdf,Works,CD1/dewanhat/remwrk/e39,OTM,Ministry of Housing and Public Works,og0001,Kazi Kader Newaz,Executive Engineer,pp0006,"Remaining Works at CDA Dewanhat Apartment Complex, Chattogram.",CD1/dewanhat/rw/e/39,1,"Construction Division-1, Chattogram Development Authority",2001,og0021,NA,pr0003,Own Fund Own Fund,supplier,0,yes,"Remaining Works at CDA Dewanhat Apartment Complex, Chattogram.",CD1/dewanhat/remwrk/e39/110,yes,11731574.383,11731574.383,2025-03-19,yes,2025-04-13,2,1,2,M/S. Amanat Enterprise,co0033,"39, Urdu Road, Lalbag, Dhaka",1,,2025-10-10,"Dewanhat, Chittagong",2025-04-16,yes,yes,award notice
Chittagong Development Authority,og0009,no,,,,206817,Own Fund,Other building completion work; Building completion work;,Chittagong,2024-11-04,Bangladesh,,Chattogram,Chattogram,2000,2000,no,cert_other;cert_tin;cert_trade_licence;cert_vat;experience_general;experience_similar;financial_credit;financial_liquid;financial_turnover;other;subcontract,961,3,(n),1,yes,eligibility,yes,Lot wise,TENDER,Tender - Single Lot,PD/CDASQR/S.P/e68/1,Kazi Kader Newaz,Assistant Engineer,pp0006,2024-11-04,1,Open Tendering Method (OTM),Ministry of Housing and Public Works,og0001,Tender Notice_PDFs/CDA_Tender_1028832.pdf,2,2024-11-04,"Swimming Pool, Jacuzzi, Sauna, Fountain & Ancilary Work at CDA Square Project",PD/CDAsqr/S.P/E68,Payment through Bank,031-625562,2024-10-30,2024-10-24,Works,NCT,Project Director (CDA Square),,og0010,Not applicable,Not applicable,pr0093,2024-10-24,2024-11-04,2025-01-31,Own Fund,Contract Awarded,Contract Awarded,1028832,2025-01-03,Kotowali,2024-10-24,Chittagong Development Authority,og0009,NA,Chattogram,Contract_Awards_PDFs/Tender_1028832.pdf,Works,PD/CDASQR/S.P/e68/1,OTM,Ministry of Housing and Public Works,og0001,Kazi Kader Newaz,Assistant Engineer,pp0006,"Swimming Pool, Jacuzzi, Sauna, Fountain & Ancilary Work at CDA Square Project",PD/CDAsqr/S.P/E68,1,Project Director (CDA Square),,og0010,NA,pr0003,Own Fund Own Fund,supplier,0,yes,"Swimming Pool, Jacuzzi, Sauna, Fountain & Ancilary Work at CDA Square Project.",PD/CDAsqr/S.P/E68/40,yes,8988920.100,8988920.1,2024-11-20,yes,2024-11-26,7,4,10,md abu musa,co0040,"goshail danga, bohutola moshjid road, chittagong.",1,,2024-12-31,"Nasirabad, Chattogram",2024-11-07,yes,yes,award notice
Chittagong Development Authority,og0009,no,,,,204772,Own Fund,"Structural metal products; Fabricated products and materials; Construction materials and associated items; Retail trade services of construction materials; Retail trade services; Architectural, engineering, construction and related technical consultancy services;Metal structures and parts of structures;Builders joinery of metal;Construction materials;Road furniture;Sewer mains;Steel products related to construction materials;Oil country tubular goods;Pipeline, piping, pipes, casing, tubing and related items;Technical consultancy services;Architectural and related services;Engineering services;Integrated engineering services;Urban planning and landscape architectural services;Construction-related services;Engineering-related scientific and technical services",Chittagong,2025-03-25,Bangladesh,,Chattogram,Chattogram,1000,1000,no,experience_count;experience_similar;financial_credit;financial_liquid;financial_turnover;geographic;other;price_band,925,6,n.,1,yes,eligibility,yes,Lot wise,TENDER,Tender - Single Lot,ExEn/CDABanglow/E-115/248,A. H. M. Mesbah Uddin,Project Director,pp0024,2025-03-24,1,Open Tendering Method (OTM),Ministry of Housing and Public Works,og0001,Tender Notice_PDFs/CDA_Tender_1032943.pdf,2,2025-03-25,"Annual Repair & Painting Work at Chief Banglow and Other Related work at CDA Hill, Chattogram.",Xen/CDABanglow/E-115,Payment through Bank,031-624401,2025-03-13,2025-03-11,Works,NCT,"Project Director(M.Uddin), Chittagong Development Authority",,og0031,Not applicable,Not applicable,pr0093,2025-03-11,2025-03-25,2025-07-21,Own Fund,,,1032943,2025-06-23,Chattogram City Corporation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,no,tender notice status only
