tender_id,source_file,page,amendment_no,amendment_no_printed,changed_fields,changed_field_count,eligibility_changed,has_change_table,notice_text
100483,Tender Notice_PDFs/CDA_Tender_100483.pdf,2,1,1,Eligibility of Consultant;TDS/PDS--C. Qualification Criteria--,2,yes,yes,Tender Notice and Data Sheet Modification
1006947,Tender Notice_PDFs/CDA_Tender_1006947.pdf,2,1,1,Eligibility of Consultant,1,yes,yes,Including the design
133881,Tender Notice_PDFs/CDA_Tender_133881.pdf,2,1,"1 It is hereby notified to all concern that the following amendment have been made to the invitation of work Tender Invitation ID No.- 133881, due to unavoidable circumstances and the amendments shall be as follows: 1. Tender Closing Date and Time will be 05/09/2018 at 01.00 P.M instead of Tender Closing Date and Time: 19/08/2018 at 01.00 P.M.",,0,no,no,2. Tender Opening Date and Time will be 05/09/2018 at 01.00 P.M instead of Tender opening Date and Time: 19/08/2018 at 01.00 P.M. All other Term’s and Conditions of the above tender will remain unchanged. This corrigendum notice will also be an integral part of the tender
235131,Tender Notice_PDFs/CDA_Tender_235131.pdf,2,1,1 Corrigendum Last Date and Time For Tender/proposal closing and openning Date and Time,Closing Date & Time;Last date & time for Tender/Proposal Security Submission;Opening Date & Time,3,no,yes,"Tender/Proposal Security Submission 19-Nov-2018 19-11-2018, 12;00 11:00"
342502,Tender Notice_PDFs/CDA_Tender_342502.pdf,2,1,"1 e-GP Tender Notice Corrigendum It is hereby notified to all concern that the following amendment have been made to the invitation of eGP Tender ID: 342502 of this office Reference No.- PD/anyanna/Est/127 dated: 08/08/2019. ITT Clause no. 16.1(a) :- Average Annual Construction Turnover Over 11 Crore BOQ- (Item no- 01, 02, 03, 04, 05, 06) Details of amendment is stated in Revised BOQ .",Closing Date & Time;Document last selling date & time;Last date & time for Tender/Proposal Security Submission;Opening Date & Time;TDS/PDS--C. Qualification Criteria--,5,yes,yes,Tender Last Selling Date : - 24/09/2019. 11.00 Tender Closing Date and Time: - 24/09/2019 at 16.30 Tender opening Date and Time:- 24/09/2019 at 16.30
395550,Tender Notice_PDFs/CDA_Tender_395550.pdf,2,1,1,Tender/Proposal Security (Amount in BDT)(Lot No : 1),1,no,yes,Corrigendum Of Tender Security
398199,Tender Notice_PDFs/CDA_Tender_398199.pdf,2,4,4,Closing Date & Time;Completion Date(Lot No : 1);Document last selling date & time;Eligibility of Consultant;Last date & time for Tender/Proposal Security Submission;Opening Date & Time;Start Date(Lot No : 1),7,yes,yes,Time extention due to pendamic issue
409461,Tender Notice_PDFs/CDA_Tender_409461.pdf,2,5,5,Closing Date & Time;Completion Date(Lot No : 1);Document last selling date & time;Eligibility of Consultant;Last date & time for Tender/Proposal Security Submission;Opening Date & Time;Start Date(Lot No : 1),7,yes,yes,Time extention due to pendamic issue
423315,Tender Notice_PDFs/CDA_Tender_423315.pdf,2,3,"3 Section Name: -Tender Document- Section 6. Bill of Quantities Old Value: SL: 1- Field name: Description: Maintenance work of all the Hardware & Network< LAN, WAN, Software related to PC, related jobs including data entry, Maintain all data backup etc with 6 maintenance person in 6 different dept. Field name: Quantity -06 SL: 2- Field name: Description",Closing Date & Time;Document last selling date & time;Eligibility of Consultant;Last date & time for Tender/Proposal Security Submission;Opening Date & Time,5,yes,yes,"Amendments/Changes: Section Name: -Tender Document- Section 6. Bill of Quantities SL: 1 Field name: Description: Maintenance work of all the Hardware & Network< LAN, WAN, Software related to PC, related jobs including data entry, Maintain all data backup etc with 5 maintenance person in 5 different dept.(for 36 Months) Field name: Quantity -05 SL: 2 Field name: Description: to be added “(for 36 Months)” at end"
514221,Tender Notice_PDFs/CDA_Tender_514221.pdf,2,1,"1 Amendment in Eligibility: Previous Value: 10. Suppliers shall be a registered (Ltd.) company of Bangladesh with proper documents of Trade License, Valid TIN",Closing Date & Time;Document last selling date & time;Eligibility of Consultant;Opening Date & Time,4,yes,yes,"Certificate (Up-to-date), VAT Registration. New Value: 10. Suppliers shall be a registered (Ltd.) company of Bangladesh with proper documents of Trade License (Up-to-date), Valid TIN Certificate (Up-to-date), VAT Registration."
