tender_id,source_file,award_template,counts_printed,documents_sold,bids_received,bids_responsive,bids_awarded,bought_but_did_not_bid,received_but_not_responsive,responsive_but_not_awarded,winner,winner_id,contract_value_taka,single_bid_received,single_bid_responsive,all_received_were_responsive,bidder_level_data_available,bidder_level_note,count_anomaly
1000267,Contract_Awards_PDFs/Tender_1000267.pdf,supplier,yes,8,5,5,1,3,0,4,M/S. Niaz Traders,co0001,104498747.1,no,no,yes,no,"the archive prints stage counts and the winner only; no bidder list, quoted price, evaluated amount, ranking or per-bidder rejection reason appears in any supplied document",
1000426,Contract_Awards_PDFs/Tender_1000426.pdf,supplier,yes,2,2,1,1,0,1,0,M/s. Moni Construction,co0002,15808878,no,yes,no,no,"the archive prints stage counts and the winner only; no bidder list, quoted price, evaluated amount, ranking or per-bidder rejection reason appears in any supplied document",
1000945,Contract_Awards_PDFs/Tender_1000945.pdf,supplier,yes,4,3,1,1,1,2,0,Momotaj Engineers Ltd.,co0003,91452674.19,no,yes,no,no,"the archive prints stage counts and the winner only; no bidder list, quoted price, evaluated amount, ranking or per-bidder rejection reason appears in any supplied document",
1001120,Contract_Awards_PDFs/Tender_1001120.pdf,supplier,yes,9,8,2,1,1,6,1,M/S. Alam & Co.,co0004,10599930,no,no,no,no,"the archive prints stage counts and the winner only; no bidder list, quoted price, evaluated amount, ranking or per-bidder rejection reason appears in any supplied document",
1001460,Contract_Awards_PDFs/Tender_1001460.pdf,supplier,yes,4,3,2,1,1,1,1,Aliza Enterprise,co0005,1060533,no,no,no,no,"the archive prints stage counts and the winner only; no bidder list, quoted price, evaluated amount, ranking or per-bidder rejection reason appears in any supplied document",
1001461,Contract_Awards_PDFs/Tender_1001461.pdf,supplier,yes,4,3,3,1,1,0,2,Aliza Enterprise,co0005,1300189.5,no,no,yes,no,"the archive prints stage counts and the winner only; no bidder list, quoted price, evaluated amount, ranking or per-bidder rejection reason appears in any supplied document",
1001613,Contract_Awards_PDFs/Tender_1001613.pdf,supplier,yes,9,7,4,1,2,3,3,Al- Arafat Services (PVT.) Limited,co0006,13217985,no,no,no,no,"the archive prints stage counts and the winner only; no bidder list, quoted price, evaluated amount, ranking or per-bidder rejection reason appears in any supplied document",
1001782,Contract_Awards_PDFs/Tender_1001782.pdf,supplier,yes,3,1,1,1,2,0,0,CPDL LTD.,co0007,52490000.531,yes,yes,yes,no,"the archive prints stage counts and the winner only; no bidder list, quoted price, evaluated amount, ranking or per-bidder rejection reason appears in any supplied document",
1001843,Contract_Awards_PDFs/Tender_1001843.pdf,supplier,yes,6,2,2,1,4,0,1,MS TECHNOLOGIES LIMITED,co0008,24247478.309,no,no,yes,no,"the archive prints stage counts and the winner only; no bidder list, quoted price, evaluated amount, ranking or per-bidder rejection reason appears in any supplied document",
1002814,Contract_Awards_PDFs/Tender_1002814.pdf,supplier,yes,2,1,1,1,1,0,0,Powercell Engineering Ltd,co0009,907067.988,yes,yes,yes,no,"the archive prints stage counts and the winner only; no bidder list, quoted price, evaluated amount, ranking or per-bidder rejection reason appears in any supplied document",
