tender_id,award_file,award_pages,award_template,award_ministry,award_ministry_id,award_agency,award_agency_id,award_procuring_entity,award_procuring_entity_id,award_procuring_entity_code,award_district,award_for,award_method,award_source_of_funds,award_development_partner,award_project,award_project_id,award_invitation_ref,award_package_no,award_package_name,contract_no,contract_description,work_location,winner,winner_id,winner_page,winner_location,winner_tenderer_id,contract_value_taka,contract_value_original,advertised_date,noa_date,signed_date,work_start_date,work_completion_date,tenders_sold,tenders_received,tenders_responsive,bid_counts_printed,performance_security_on_time,contract_signed_on_time,award_officer,award_officer_id,award_officer_designation,beneficial_owners
1000267,Contract_Awards_PDFs/Tender_1000267.pdf,1,supplier,Ministry of Housing and Public Works,og0001,Rajdhani Unnayan Kartripakkha (RAJUK),og0002,Superintending Engineer (Civil Circle-3),og0003,,Dhaka,Works,OTM,Own Fund Own fund,NA,Building Repair and Maintenance,pr0001,RAJUK/SECC-3/20,RAJUK/SECC-3/18,Repair and maintenance work of Madani Avenue (100ft) Road Due to excavation for inatallation Transmission and Distribution pipe line for Dhaka WASA DESWSP Project (Package-P2).,RAJUK/SECC-3/20,Repair and maintenance work of Madani Avenue (100ft) Road Due to excavation for inatallation Transmission and Distribution pipe line for Dhaka WASA DESWSP Project (Package-P2).,Madani Avenue Road,M/S. Niaz Traders,co0001,1,"154, Motijheel C/A. Masjid Market (2nd Floor), Room No.301-303, Dhaka-1000.",,104498747.1,104498747.100,2024-06-25,2024-09-10,2024-10-08,2024-08-14,2025-02-10,8,5,5,yes,yes,yes,Saber Ahmed,pp0001,Superintending Engineer,0
1000426,Contract_Awards_PDFs/Tender_1000426.pdf,1,supplier,Ministry of Housing and Public Works,og0001,Rajshahi Development Authority,og0004,Office of the Project Director,og0005,,Rajshahi,Works,OTM,Own Fund Own fund,NA,Development of PRANTIK Residential Area (3rd Revised),pr0002,25.40.0000.002.14.742.24.308 date:24.06.2024,RDA/PRANTIK/W/2024-2025/01,Development of PRANTIK Residential Area (Sub-head : Supply & installation of Electric supply line.),25.40.0000.002.14.742.24.384/NOA date:19.09.2024,Development of PRANTIK Residential Area (Sub-head : Supply & installation of Electric supply line.),"PRANTIK Residential Area, Kasiadanga More, Rajshahi",M/s. Moni Construction,co0002,1,"Thikadar para, Alam Nagar, Rangpur-5402",,15808878,15808878.000,2024-06-25,2024-09-19,2024-09-26,2024-08-14,2024-12-18,2,2,1,yes,yes,yes,Md. Abdullah Al Tarique,pp0002,Superintending Engineer,0
1000945,Contract_Awards_PDFs/Tender_1000945.pdf,1,supplier,Ministry of Housing and Public Works,og0001,Rajdhani Unnayan Kartripakkha (RAJUK),og0002,"Construction of multi-storied apartment Buildings on 9(Nine) nos abandoned plot at Gulshan,Mohammadpur, Lalmatia & Dhanmondi, Dhaka.",og0006,,Dhaka,Works,OTM,Own Fund Own Fund,NA,NA,pr0003,RAJUK/PD_9apt/Building_03,RAJUK/PD-9apt/Bldg-03,"Construction of 06 (six) storied Apartment Building (Civil, Sanitary & Internal Electrification works) at Plot No. 8/15, Sir Syed Road, Block-A, Mohammadpur, Dhaka (Building-03).",RAJUK/PD_9apt/Building_03,"Construction of 06 (six) storied Apartment Building (Civil, Sanitary & Internal Electrification works) at Plot No. 8/15, Sir Syed Road, Block-A, Mohammadpur, Dhaka (Building-03).","Sir Syed Road, Block-A, Mohammadpur, Dhaka",Momotaj Engineers Ltd.,co0003,1,"Kha-202/c, Progatisharani, Middle Badda, Dhaka-1212.",,91452674.19,91452674.190,2024-06-30,2024-08-27,2024-09-09,2024-10-08,2026-03-25,4,3,1,yes,yes,yes,Rahat Muslemin,pp0003,PD (9apt),0
1001120,Contract_Awards_PDFs/Tender_1001120.pdf,1,supplier,Ministry of Housing and Public Works,og0001,Rajdhani Unnayan Kartripakkha (RAJUK),og0002,Superintending Engineer (Civil Circle-1),og0007,,Dhaka,Works,OTM,Own Fund Own Fund,NA,NA,pr0003,RAJUK/SE/CC-1/EE/HQ/Hatirjheel/W-13/P-1,SE/CC-1/EE/HQ/Hatirjheel/W-13/P-1,"Cleaning, Sweeping &Gardening of the Expressway, Service Road, Footpath, and Walkway from FDC to Merul Badda in the Hatirjheel Area.",RAJUK/SE/CC-1/EE/HQ/Hatirjheel/W-13/P-1,"Cleaning, Sweeping &Gardening of the Expressway, Service Road, Footpath, and Walkway from FDC to Merul Badda in the Hatirjheel Area.",Hatirjheel Area,M/S. Alam & Co.,co0004,1,"61, Satish Sarker Road, Gandaria, Dhaka Bangladesh",,10599930,10599930.000,2024-07-03,2024-10-22,2024-11-19,2024-11-01,2026-11-01,9,8,2,yes,yes,yes,Mohammad Muzaffar Uddin,pp0004,Superintending Engineer,0
1001460,Contract_Awards_PDFs/Tender_1001460.pdf,1,supplier,Ministry of Housing and Public Works,og0001,Rajdhani Unnayan Kartripakkha (RAJUK),og0002,Office of the Superintending Engineer (Mechanical),og0008,,Dhaka,Works,OTM,Own Fund Own fund,NA,Repair Maintenance of Heavy Machinery & Equipment,pr0004,SEMECH-10,SEMECH-9,Repair and maintenance work of Rajuk's Germany Payloader No.1,SEMECH-10,Repair and maintenance work of Rajuk's Germany Payloader No.1,Mohakhali,Aliza Enterprise,co0005,1,"610, Shewrapara, Mirpur, Dhaka-1216",,1060533,1060533.000,2024-07-09,2024-10-08,2024-11-05,2024-08-01,2024-10-30,4,3,2,yes,yes,yes,Sabbir Bin Taher,pp0005,Sup. Eng. (Mechanical),0
1001461,Contract_Awards_PDFs/Tender_1001461.pdf,1,supplier,Ministry of Housing and Public Works,og0001,Rajdhani Unnayan Kartripakkha (RAJUK),og0002,Office of the Superintending Engineer (Mechanical),og0008,,Dhaka,Works,OTM,Own Fund Own fund,NA,Repair Maintenance of Heavy Machinery & Equipment,pr0004,SEMECH-11,SEMECH-8,Supply and repair Spare parts (in cluding accessories) for RAJUK wheel excavator no-01.,SEMECH-11,Supply and repair Spare parts (in cluding accessories) for RAJUK wheel excavator no -01.,Mohakhali,Aliza Enterprise,co0005,1,"610, Shewrapara, Mirpur, Dhaka-1216",,1300189.5,1300189.500,2024-07-09,2024-10-08,2024-11-05,2024-08-01,2024-10-30,4,3,3,yes,yes,yes,Sabbir Bin Taher,pp0005,Sup. Eng. (Mechanical),0
1001613,Contract_Awards_PDFs/Tender_1001613.pdf,1,supplier,Ministry of Housing and Public Works,og0001,Rajdhani Unnayan Kartripakkha (RAJUK),og0002,Superintending Engineer (Civil Circle-1),og0007,,Dhaka,Works,OTM,Own Fund Own Fund,NA,NA,pr0003,RAJUK/SE/CC-1/EE/HQ/HatirjheelW-13/P-2,SE/CC-1/EE/HQ/HatirjheelW-13/P-2,"Cleaning, Sweeping &Gardening of the Expressway, Service Road, Footpath, and Walkway from Rampura to Mogbazar including rail crossing-BIAM-Banglamotor in the Hatirjheel Area.",RAJUK/SE/CC-1/EE/HQ/HatirjheelW-13/P-2,"Cleaning, Sweeping &Gardening of the Expressway, Service Road, Footpath, and Walkway from Rampura to Mogbazar including rail crossing-BIAM-Banglamotor in the Hatirjheel Area.",Hatirjheel Area,Al- Arafat Services (PVT.) Limited,co0006,1,"Ka-23, Kalachandpur (1st Floor), Baridhara, North Road, Gulshan, Dhaka-1212, Bangladesh.",,13217985,13217985.000,2024-07-03,2024-10-22,2024-11-19,2024-11-01,2026-11-01,9,7,4,yes,yes,yes,Mohammad Muzaffar Uddin,pp0004,Superintending Engineer,0
1001782,Contract_Awards_PDFs/Tender_1001782.pdf,1,supplier,Ministry of Housing and Public Works,og0001,Chittagong Development Authority,og0009,Project Director (CDA Square),og0010,,Chattogram,Works,OTM,Own Fund Own fund,NA,"Construction of CDA Square at Nasirabad, Chittagong",pr0005,PD/CDASQR/lift/E-65/01,PD/CDAsqr/lift/65/02,"Supply, Installation, Testing & Commissioning of Lift at CDA SQUARE Project (Lot-2).",PD/CDAsqr/lift/65/02/015,"Supply, Installation, Testing & Commissioning of Lift at CDA SQUARE Project (Lot-2).","Nasirabad, Chattogram",CPDL LTD.,co0007,1,"CPDL LTD. 81/A S.S Khaled Road, Chittagong-4000 Tel:-031-2854442",,52490000.531,52490000.531,2024-07-08,2024-08-22,2024-09-09,2024-08-10,2024-12-31,3,1,1,yes,yes,yes,Kazi Kader Newaz,pp0006,Assistant Engineer,0
1001843,Contract_Awards_PDFs/Tender_1001843.pdf,1,supplier,Ministry of Housing and Public Works,og0001,Chittagong Development Authority,og0009,Project Director (CDA Square),og0010,,Chattogram,Works,OTM,Own Fund Own fund,NA,"Construction of CDA Square at Nasirabad, Chittagong",pr0005,PD/CDASQR/e64/02,PD/CDAsqr/CCTV/e-64,"CCTV, IP System & Fire Fighting Remaining Works at CDA SQUARE Project, Chattogram.",PD/CDAsqr/CCTV/e-64/017,"CCTV, IP System & Fire Fighting Remaining Works at CDA SQUARE Project, Chattogram.","Nasirabad, Chattogram",MS TECHNOLOGIES LIMITED,co0008,1,"MM Tower (5th), CDA Avenue Road, Besides Sanmar Ocean City, PO: Khulshi, PS: Panchlaish. Chattogram.",,24247478.309,24247478.309,2024-07-08,2024-08-25,2024-09-09,2024-08-05,2024-12-31,6,2,2,yes,yes,yes,Kazi Kader Newaz,pp0006,Assistant Engineer,0
1002814,Contract_Awards_PDFs/Tender_1002814.pdf,1,supplier,Ministry of Housing and Public Works,og0001,Rajdhani Unnayan Kartripakkha (RAJUK),og0002,Office of the Superintending Engineer (Electrical),og0011,,Dhaka,Works,OTM,Own Fund Own fund,NA,Lift and Electrical Equipement Repare,pr0006,Rajuk/Electrical-2/24/W-01,Rajuk/Electrical-2/24/W-01,"03 (Three) Years Servicing, Operation & Maintenance 01 No. 800 KG Passenger Lift in Uttara Rajuk Zonal Office.",25.39.0000.064.07.004.2024,"03 (Three) Years Servicing, Operation & Maintenance 01 No. 800 KG Passenger Lift in Uttara Rajuk Zonal Office.",Uttara Rajuk Zonal Office,Powercell Engineering Ltd,co0009,1,"623/1 (2nd & 3rd floor) Begum Rokeya Sarani, Kazipara, Mirpur, Dhaka-1216, Bangladesh",,907067.988,907067.988,2024-08-28,2024-12-18,2025-01-14,2024-10-02,2027-10-01,2,1,1,yes,yes,yes,MOHAMMAD NAZMUS SAKIB JAMALI,pp0007,Sup. Eng. (Elec.),0
