document_id,file,filename,folder,kind,tender_id,pages,bytes,sha256,characters,words,ruled_tables,images,script,has_text_layer,needs_ocr,second_extractor_chars,extractors_agree,duplicate_text_of,read_error,fields_read,dates_read,eligibility_chars,lots_read,beneficial_owners_read,creator,producer,pdf_created,pdf_modified,interleaved_layout_warnings,interleaved_layout_detail
Tender_1000267,Contract_Awards_PDFs/Tender_1000267.pdf,Tender_1000267.pdf,Contract_Awards_PDFs,contract_award,1000267,1,99289,2212e5d11bf9a7b22812aadea732e14652fde31158c9168282835d7cf81c8c18,1904,239,0,0,en,yes,no,1945,yes,,,32,5,0,0,0,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/150.0.0.0 Safari/537.36",Skia/PDF m150,D:20260716092639+00'00',D:20260716092639+00'00',0,
Tender_1000426,Contract_Awards_PDFs/Tender_1000426.pdf,Tender_1000426.pdf,Contract_Awards_PDFs,contract_award,1000426,1,98853,3bcba83cd5cf0fefc0252f6abcce20af7bf0e786f2e8340ce02819ebb6e6f950,1844,222,0,0,en,yes,no,1883,yes,,,32,5,0,0,0,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/150.0.0.0 Safari/537.36",Skia/PDF m150,D:20260716125609+00'00',D:20260716125609+00'00',0,
Tender_1000945,Contract_Awards_PDFs/Tender_1000945.pdf,Tender_1000945.pdf,Contract_Awards_PDFs,contract_award,1000945,1,99978,57b990971a9d2ad0e4031ee8eec24745204aefb27775bc53a95c202eaec88768,1991,244,0,0,en,yes,no,2033,yes,,,32,5,0,0,0,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/150.0.0.0 Safari/537.36",Skia/PDF m150,D:20260716092626+00'00',D:20260716092626+00'00',0,
Tender_1001120,Contract_Awards_PDFs/Tender_1001120.pdf,Tender_1001120.pdf,Contract_Awards_PDFs,contract_award,1001120,1,100416,52f614dfeb9b779964d0d1e8c686bd2596f7004746d2e99ed17995afae1b3504,1834,224,0,0,en,yes,no,1875,yes,,,32,5,0,0,0,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/150.0.0.0 Safari/537.36",Skia/PDF m150,D:20260716092604+00'00',D:20260716092604+00'00',0,
Tender_1001460,Contract_Awards_PDFs/Tender_1001460.pdf,Tender_1001460.pdf,Contract_Awards_PDFs,contract_award,1001460,1,99607,ac0ef31df17a943e3a739d6a8417a222d3455453a12283cbdf30aa4b9094abf2,1635,205,0,0,en,yes,no,1674,yes,,,32,5,0,0,0,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/150.0.0.0 Safari/537.36",Skia/PDF m150,D:20260716092538+00'00',D:20260716092538+00'00',0,
Tender_1001461,Contract_Awards_PDFs/Tender_1001461.pdf,Tender_1001461.pdf,Contract_Awards_PDFs,contract_award,1001461,1,99690,22b94f301867739a1b7af8320da65e2e4aaed5055246481eaaf4093a4febbbf6,1688,214,0,0,en,yes,no,1727,yes,,,32,5,0,0,0,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/150.0.0.0 Safari/537.36",Skia/PDF m150,D:20260716092551+00'00',D:20260716092551+00'00',0,
Tender_1001613,Contract_Awards_PDFs/Tender_1001613.pdf,Tender_1001613.pdf,Contract_Awards_PDFs,contract_award,1001613,1,100966,61607437608c8e5c2abcb03135b182384c1bc52621677bef28f3a52baebed759,1972,232,0,0,en,yes,no,2013,yes,,,32,5,0,0,0,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/150.0.0.0 Safari/537.36",Skia/PDF m150,D:20260716092615+00'00',D:20260716092615+00'00',0,
Tender_1001782,Contract_Awards_PDFs/Tender_1001782.pdf,Tender_1001782.pdf,Contract_Awards_PDFs,contract_award,1001782,1,99869,e0cadc6c726c3d17c601fa14a113e553b4b67cec50f23a52bf35c542369b21ae,1733,212,0,0,en,yes,no,1772,yes,,,32,5,0,0,0,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/150.0.0.0 Safari/537.36",Skia/PDF m150,D:20260716033222+00'00',D:20260716033222+00'00',0,
Tender_1001843,Contract_Awards_PDFs/Tender_1001843.pdf,Tender_1001843.pdf,Contract_Awards_PDFs,contract_award,1001843,1,100738,4beca1e90a5ae1735ded954d4119f7e8bee744dbbf07a1cd05fbee4a743c705c,1771,222,0,0,en,yes,no,1810,yes,,,32,5,0,0,0,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/150.0.0.0 Safari/537.36",Skia/PDF m150,D:20260716033209+00'00',D:20260716033209+00'00',0,
Tender_1002814,Contract_Awards_PDFs/Tender_1002814.pdf,Tender_1002814.pdf,Contract_Awards_PDFs,contract_award,1002814,1,100418,382ed710466ba97cf9bbdc7e25c3b6f5eb58f166ba5ee79abd9a3187876831d0,1854,234,0,0,en,yes,no,1893,yes,,,32,5,0,0,0,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/150.0.0.0 Safari/537.36",Skia/PDF m150,D:20260716092309+00'00',D:20260716092309+00'00',0,
