tender_id,clause_no,source_file,page,source_field,printed_label,text,chars,categories,defers_to_another_document,money_taka,money_original,money_words,money_scale_words,money_reading,money_unresolved,years,contract_counts,percentages
1001782,1,Tender Notice_PDFs/CDA_Tender_1001782.pdf,1,eligibility,Eligibility of Tenderer,"1. The minimum number of years of general experience of the Tenderer in the construction works as Prime Contractor or Subcontractor or Management Contractor shall be 10 (Ten) years. 2. The minimum specific experience is a satisfactory completion of similar works (Supply, Installation, Testing & Commissioning of minimum 4nos Lift including bed lift) with a value of at least BDT 280 (Two hundred Eighty) Lac in a single contract over a period of 5 (Five) years shall be required in any government, semi-government or autonomous body. 3. The required average annual construction turnover shall be greater than Tk 11 (Eleven) Crore over the last best three",655,experience_general;experience_similar;financial_turnover;subcontract,no,28000000.00;110000000.00;28000000.00;110000000.00,BDT 280 (Two hundred Eighty) Lac | Tk 11 (Eleven) Crore | 280 (Two hundred Eighty) Lac | 11 (Eleven) Crore,Two hundred Eighty | Eleven | Two hundred Eighty | Eleven,crore;lac,"the digits and the words agree, so the scale word is applied to them | the digits and the words agree, so the scale word is applied to them | the digits and the words agree, so the scale word is applied to them | the digits and the words agree, so the scale word is applied to them",,5;10,,
1001782,2,Tender Notice_PDFs/CDA_Tender_1001782.pdf,1,eligibility,Eligibility of Tenderer,(3) years in the last five,26,other,no,,,,,,,3,,
1001782,3,Tender Notice_PDFs/CDA_Tender_1001782.pdf,1,eligibility,Eligibility of Tenderer,"(5) years. 4. The minimum amount of liquid assets or working capital or credit facilities of the Tenderer shall be BD Tk 5.5 (Five & half) Crore. 5. The tenderer should have updated trade license, TIN and VAT certificate and incorporation certificate. 6. The tenderer should have updated A-B-C Electric license with supervisory license. 7. The tenderer should have minimum one work done certificate with E-gp ID should be submitted in last 5 years. 8. others qualification criteria as stated in TDS.",499,financial_liquid;financial_credit;cert_trade_licence;cert_vat;cert_tin;cert_other;cert_licence_class,no,55000000.00;55000000.00,Tk 5.5 (Five & half) Crore | 5.5 (Five & half) Crore,Five & half | Five & half,crore,the scale word was applied to the digits; no amount in words is printed beside them to check it against | the scale word was applied to the digits; no amount in words is printed beside them to check it against,,5,,
1001843,1,Tender Notice_PDFs/CDA_Tender_1001843.pdf,1,eligibility,Eligibility of Tenderer,"1. The minimum number of years of general experience of the Tenderer in the construction works as Prime Contractor or Subcontractor or Management Contractor shall be 05 (Five)years. 2. A satisfactory completion of similar nature of works (including fire fighting works at minimum one 10 storied Building) of at least BDT 150 (one hundred fifty) lac under 2(Two) contracts over a period of 5 (Five) years shall be required in any government, semi- government or autonomous body. 3. The required average annual construction turnover shall be greater than Tk 2.5 (Two and half) Crore over best three",596,experience_general;experience_similar;financial_turnover;subcontract,no,15000000.00;25000000.00;15000000.00;25000000.00,BDT 150 (one hundred fifty) lac | Tk 2.5 (Two and half) Crore | 150 (one hundred fifty) lac | 2.5 (Two and half) Crore,one hundred fifty | Two and half | one hundred fifty | Two and half,crore;lac,"the digits and the words agree, so the scale word is applied to them | the scale word was applied to the digits; no amount in words is printed beside them to check it against | the digits and the words agree, so the scale word is applied to them | the scale word was applied to the digits; no amount in words is printed beside them to check it against",,5,2,
1001843,2,Tender Notice_PDFs/CDA_Tender_1001843.pdf,1,eligibility,Eligibility of Tenderer,(3) years in the last five,26,other,no,,,,,,,3,,
1001843,3,Tender Notice_PDFs/CDA_Tender_1001843.pdf,1,eligibility,Eligibility of Tenderer,"(5) years. 4. The minimum amount of liquid assets or working capital or credit facilities of the Tenderer shall be Tk Tk 2.5 (Two & half) Crore. 5. The tenderer should have updated trade license, TIN and VAT certificate and incorporation certificate. 6. The tenderer should have minimum one work done certificate with E-gp ID should be submitted in last 5 years. 7. The bidder must have Electrical A-B-C licences & Supervisory licences from electrification Board. 8. others qualification criteria as stated in TDS.",514,financial_liquid;financial_credit;cert_trade_licence;cert_vat;cert_tin;cert_other;cert_licence_class,no,25000000.00;25000000.00,Tk 2.5 (Two & half) Crore | 2.5 (Two & half) Crore,Two & half | Two & half,crore,the scale word was applied to the digits; no amount in words is printed beside them to check it against | the scale word was applied to the digits; no amount in words is printed beside them to check it against,,5,,
1002615,1,Tender Notice_PDFs/CDA_Tender_1002615.pdf,1,eligibility,Eligibility of Tenderer,"(a) The minimum of years of general experience of the Tenderer in the supply of Goods and related services (Excavator, Payloader, Bulldozer etc.) as Supplier shall be eight",172,experience_general;equipment,no,,,,,,,,,
1002615,2,Tender Notice_PDFs/CDA_Tender_1002615.pdf,1,eligibility,Eligibility of Tenderer,"(8) years. Years counting backward from the date of publication of IFT in the e-GP System. (b) The minimum specific experience as Supplier in supply of similar Goods (Like minimum number of one Excavator, Country of orgin: Japan/Europe/UK/North America/South America) of at least one",283,experience_similar;equipment,no,,,,,,,8,,
1002615,3,Tender Notice_PDFs/CDA_Tender_1002615.pdf,1,eligibility,Eligibility of Tenderer,(1) contract(s) successfully completed within the last three,60,other,no,,,,,,,,1,
1002615,4,Tender Notice_PDFs/CDA_Tender_1002615.pdf,1,eligibility,Eligibility of Tenderer,"(3) years, each with a value of at least Tk. 3,50,00,000.00 (Three Crore Fifty Lacs only). Years counting backward from the date of publication of IFT in the e-GP System. (c) The minimum supply and/or production capacity of Goods are: Similar nature of goods NO. 1 per year in last three",287,experience_similar,no,35000000.00,"Tk. 3,50,00,000.00 (Three Crore Fifty Lacs only)",Three Crore Fifty Lacs only,crore,the words in brackets state the same total as the digits,,3,,
