level,printed,normalized,tenders,first_source_file,first_page,coordinates
district,Chattogram,Chattogram,229,Tender Notice_PDFs/CDA_Tender_1001782.pdf,1,not documented in the supplied documents
city,Chittagong,Chittagong,159,Tender Notice_PDFs/CDA_Tender_1001782.pdf,1,not documented in the supplied documents
thana,Kotowali,Kotowali,130,Tender Notice_PDFs/CDA_Tender_1001782.pdf,1,not documented in the supplied documents
country,Bangladesh,Bangladesh,1133,Tender Notice_PDFs/CDA_Tender_1001782.pdf,1,not documented in the supplied documents
city,Chattogran,Chattogran,1,Tender Notice_PDFs/CDA_Tender_1002615.pdf,1,not documented in the supplied documents
thana,Chattogram City Corporation,Chattogram City Corporation,40,Tender Notice_PDFs/CDA_Tender_1002615.pdf,1,not documented in the supplied documents
district,Chittagong,Chittagong,45,Tender Notice_PDFs/CDA_Tender_100483.pdf,1,not documented in the supplied documents
thana,kotowali,kotowali,4,Tender Notice_PDFs/CDA_Tender_1044421.pdf,1,not documented in the supplied documents
thana,Sitakunda,Sitakunda,2,Tender Notice_PDFs/CDA_Tender_1054573.pdf,1,not documented in the supplied documents
city,Chattogram,Chattogram,15,Tender Notice_PDFs/CDA_Tender_1124277.pdf,1,not documented in the supplied documents
district,Comilla,Comilla,2,Tender Notice_PDFs/CDA_Tender_15000.pdf,1,not documented in the supplied documents
city,Comilla,Comilla,1,Tender Notice_PDFs/CDA_Tender_15000.pdf,1,not documented in the supplied documents
thana,Jangalia,Jangalia,1,Tender Notice_PDFs/CDA_Tender_15000.pdf,1,not documented in the supplied documents
district,Dinajpur,Dinajpur,3,Tender Notice_PDFs/CDA_Tender_18000.pdf,1,not documented in the supplied documents
city,Dinajpur,Dinajpur,2,Tender Notice_PDFs/CDA_Tender_18000.pdf,1,not documented in the supplied documents
thana,Sadar,Sadar,1,Tender Notice_PDFs/CDA_Tender_18000.pdf,1,not documented in the supplied documents
city,Chottogram,Chottogram,2,Tender Notice_PDFs/CDA_Tender_281992.pdf,1,not documented in the supplied documents
thana,Chittagong Sadar,Chittagong Sadar,1,Tender Notice_PDFs/CDA_Tender_42800.pdf,1,not documented in the supplied documents
district,Cox's Bazar,Cox's Bazar,243,Tender Notice_PDFs/COXDA_Tender_1016323.pdf,1,not documented in the supplied documents
city,Cox's Bazar,Cox's Bazar,134,Tender Notice_PDFs/COXDA_Tender_1016323.pdf,1,not documented in the supplied documents
thana,Cox'S Bazar Sadar,Cox'S Bazar Sadar,82,Tender Notice_PDFs/COXDA_Tender_1016323.pdf,1,not documented in the supplied documents
thana,Dinajpur Sadar,Dinajpur Sadar,1,Tender Notice_PDFs/COXDA_Tender_20558.pdf,1,not documented in the supplied documents
thana,Cox's Bazar Sadar,Cox's Bazar Sadar,52,Tender Notice_PDFs/COXDA_Tender_270190.pdf,1,not documented in the supplied documents
district,Gazipur,Gazipur,28,Tender Notice_PDFs/GDA_Tender_1251658.pdf,1,not documented in the supplied documents
city,Gazipur,Gazipur,4,Tender Notice_PDFs/GDA_Tender_1251766.pdf,2,not documented in the supplied documents
thana,Gazipur City Corporation,Gazipur City Corporation,11,Tender Notice_PDFs/GDA_Tender_1251766.pdf,2,not documented in the supplied documents
city,Gazipur city,Gazipur city,2,Tender Notice_PDFs/GDA_Tender_1253427.pdf,1,not documented in the supplied documents
