tender_id,source_file,page,table_generation,lot_no,identification,location,security_amount_taka,security_amount_original,start_date,completion_date
1001782,Tender Notice_PDFs/CDA_Tender_1001782.pdf,1,lots_legacy,01,"Supply, Installation, Testing & Commissioning of Lift at CDA SQUARE Project (Lot-2).","Nasirabad, Chattogram",1400000,1400000,2024-08-08,2024-12-31
1001843,Tender Notice_PDFs/CDA_Tender_1001843.pdf,1,lots_legacy,01,"CCTV, IP System & Fire Fighting Remaining Works at CDA SQUARE Project, Chattogram.","Nasirabad, Chattogram",700000,700000,2024-08-01,2024-12-31
1002615,Tender Notice_PDFs/CDA_Tender_1002615.pdf,1,lots_legacy,01,Purchase of Excavator (Long Boom) under Chittagong Water Logging Project,CDA Building,925000,925000,2025-02-05,2025-06-30
100483,Tender Notice_PDFs/CDA_Tender_100483.pdf,1,lots_legacy,Lot-06,"Site Development/Improvement, Retaining wall & R.C.C L-Canal & ancillary works of Silimpur R/A (East)",Silimpur,1794000,1794000,2017-06-21,2018-06-20
1006947,Tender Notice_PDFs/CDA_Tender_1006947.pdf,1,lots_legacy,1,"Supply Furniture Materials for CDA Chairman Banglow at CDA Hill, Chattogram.",CDA Hill Chattogram,83300,83300,2024-09-15,2024-10-16
101083,Tender Notice_PDFs/CDA_Tender_101083.pdf,1,lots_legacy,Lot-01,"Construction work of affected area's boundary wall, column septic tank, water tank, silk coat, road marking and ancillary work under the project of widening and improvement of DC Road.",DC Road,120000,120000,2017-06-01,2017-06-29
1023323,Tender Notice_PDFs/CDA_Tender_1023323.pdf,1,lots_legacy,01,"Swimming Pool, Jacuzzi, Sauna, Fountain & Ancilary Work at CDA Square Project.","Nasirabad, Chattogram",250000,250000,2024-10-24,2024-12-31
1023333,Tender Notice_PDFs/CDA_Tender_1023333.pdf,1,lots_legacy,01,"Remaining Works at CDA Dewanhat Apartment Complex, Chattogram.","Dewanhat, Chittagong",350000,350000,2024-11-03,2025-04-30
1028832,Tender Notice_PDFs/CDA_Tender_1028832.pdf,1,lots_legacy,01,"Swimming Pool, Jacuzzi, Sauna, Fountain & Ancilary Work at CDA Square Project.","Nasirabad, Chattogram",250000,250000,2024-11-07,2024-12-31
1032943,Tender Notice_PDFs/CDA_Tender_1032943.pdf,1,lots_legacy,1,"Annual Repair & Painting Work at Chief Banglow and Other Related work at CDA Hill, Chattogram.",CDA Hill Badshah Miah Road Chattogram,64000,64000,2025-04-03,2025-05-04
1036609,Tender Notice_PDFs/CDA_Tender_1036609.pdf,1,lots_legacy,1,Development works of Agrabad Commerce College Road.,Agrabad Chattogram,2721000,2721000,2025-02-09,2025-10-30
1044421,Tender Notice_PDFs/CDA_Tender_1044421.pdf,1,lots_legacy,1,Supply of Stationary items at CDA,CDA Building,29000,29000,2025-01-30,2025-02-27
1048608,Tender Notice_PDFs/CDA_Tender_1048608.pdf,1,lots_legacy,1,Supply of Computer and Computer Accessories at CDA.,CDA Building,24030,24030,2025-01-12,2025-02-12
1049598,Tender Notice_PDFs/CDA_Tender_1049598.pdf,1,lots_legacy,1,"Supply Furniture Materials for CDA Chairman Banglow at CDA Hill, Chattogram.",CDA Hill Chattogram,83300,83300,2025-07-01,2025-07-31
1054573,Tender Notice_PDFs/CDA_Tender_1054573.pdf,1,lots_legacy,1,Supply of staff winter dress at CDA,CDA Building,28000,28000,2025-01-30,2025-02-27
