entity_type,id_a,name_a,id_b,name_b,key_a,key_b,resemblance,measure,merged,documents_a,documents_b
company,co0001,M/S. Niaz Traders,co0085,"NIAZ-NOONA-KTA JV ( JVCA Partners [Business Share]: KHOKAN TRADING AGENCY [0.000%] , Noona Traders [0.000%] , M/S. Niaz Traders [0.000%] )",NIAZ TRADERS,NIAZ NOONA KTA JV JVCA PARTNERS BUSINESS SHARE KHOKAN TRADING AGENCY 0 000 NOONA TRADERS 0 000 M S NIAZ TRADERS 0 000,one name's words are all contained in the other,,no,Contract_Awards_PDFs/Tender_1000267.pdf;Contract_Awards_PDFs/Tender_1035179.pdf;Contract_Awards_PDFs/Tender_1044320.pdf;Contract_Awards_PDFs/Tender_1082525.pdf;Contract_Awards_PDFs/Tender_293018.pdf,Contract_Awards_PDFs/Tender_119326.pdf
company,co0001,M/S. Niaz Traders,co0157,"NIAZ-NOONA JV. ( JVCA Partners [Business Share]: Noona Traders [51.000%] , M/S. Niaz Traders [49.000%] )",NIAZ TRADERS,NIAZ NOONA JV JVCA PARTNERS BUSINESS SHARE NOONA TRADERS 51 000 M S NIAZ TRADERS 49 000,one name's words are all contained in the other,,no,Contract_Awards_PDFs/Tender_1000267.pdf;Contract_Awards_PDFs/Tender_1035179.pdf;Contract_Awards_PDFs/Tender_1044320.pdf;Contract_Awards_PDFs/Tender_1082525.pdf;Contract_Awards_PDFs/Tender_293018.pdf,Contract_Awards_PDFs/Tender_292111.pdf
company,co0001,M/S. Niaz Traders,co0260,"National Development Engineers Ltd. - M/S. Niaz Traders JV (NDE-NT JV) ( JVCA Partners [Business Share]: NATIONAL DEVELOPMENT ENGINEERS LTD. [20.000%] , M/S. Niaz Traders [80.000%] )",NIAZ TRADERS,NATIONAL DEVELOPMENT ENGINEERS LTD M S NIAZ TRADERS JV NDE NT JV JVCA PARTNERS BUSINESS SHARE NATIONAL DEVELOPMENT ENGINEERS LTD 20 000 M S NIAZ TRADERS 80 000,one name's words are all contained in the other,,no,Contract_Awards_PDFs/Tender_1000267.pdf;Contract_Awards_PDFs/Tender_1035179.pdf;Contract_Awards_PDFs/Tender_1044320.pdf;Contract_Awards_PDFs/Tender_1082525.pdf;Contract_Awards_PDFs/Tender_293018.pdf,Contract_Awards_PDFs/Tender_857646.pdf
company,co0003,Momotaj Engineers Ltd.,co0184,"Rafiq Construction Co. (Pvt.) Ltd. - Haider & Co-Momotaj Engineers Ltd (JV) ( JVCA Partners [Business Share]: HAIDER & CO. [25.000%] , Momotaj Engineers Ltd. [25.000%] , Rafiq Construction Co. (Pvt.) Ltd. [50.000%] )",MOMOTAJ ENGINEERS LTD,RAFIQ CONSTRUCTION CO PVT LTD HAIDER CO MOMOTAJ ENGINEERS LTD JV JVCA PARTNERS BUSINESS SHARE HAIDER CO 25 000 MOMOTAJ ENGINEERS LTD 25 000 RAFIQ CONSTRUCTION CO PVT LTD 50 000,one name's words are all contained in the other,,no,Contract_Awards_PDFs/Tender_1000945.pdf;Contract_Awards_PDFs/Tender_1081213.pdf;Contract_Awards_PDFs/Tender_199891.pdf;Contract_Awards_PDFs/Tender_431689.pdf;Contract_Awards_PDFs/Tender_431697.pdf,Contract_Awards_PDFs/Tender_476403.pdf
company,co0005,Aliza Enterprise,co0109,M/S. Maliha Enterprise,ALIZA ENTERPRISE,MALIHA ENTERPRISE,differs by at most two characters,edit distance <= 2,no,Contract_Awards_PDFs/Tender_1001460.pdf;Contract_Awards_PDFs/Tender_1001461.pdf;Contract_Awards_PDFs/Tender_1008545.pdf;Contract_Awards_PDFs/Tender_1082495.pdf;Contract_Awards_PDFs/Tender_1083760.pdf,Contract_Awards_PDFs/Tender_134910.pdf;Contract_Awards_PDFs/Tender_661888.pdf;Contract_Awards_PDFs/Tender_690870.pdf;Contract_Awards_PDFs/Tender_755479.pdf;Contract_Awards_PDFs/Tender_870252.pdf
company,co0013,HAIDER & CO.,co0184,"Rafiq Construction Co. (Pvt.) Ltd. - Haider & Co-Momotaj Engineers Ltd (JV) ( JVCA Partners [Business Share]: HAIDER & CO. [25.000%] , Momotaj Engineers Ltd. [25.000%] , Rafiq Construction Co. (Pvt.) Ltd. [50.000%] )",HAIDER CO,RAFIQ CONSTRUCTION CO PVT LTD HAIDER CO MOMOTAJ ENGINEERS LTD JV JVCA PARTNERS BUSINESS SHARE HAIDER CO 25 000 MOMOTAJ ENGINEERS LTD 25 000 RAFIQ CONSTRUCTION CO PVT LTD 50 000,one name's words are all contained in the other,,no,Contract_Awards_PDFs/Tender_1007300.pdf;Contract_Awards_PDFs/Tender_1008547.pdf;Contract_Awards_PDFs/Tender_1071058.pdf;Contract_Awards_PDFs/Tender_431706.pdf;Contract_Awards_PDFs/Tender_827548.pdf,Contract_Awards_PDFs/Tender_476403.pdf
company,co0014,T.S Enterprise,co0016,M/S. A. R. Enterprise,T S ENTERPRISE,A R ENTERPRISE,differs by at most two characters,edit distance <= 2,no,Contract_Awards_PDFs/Tender_1008472.pdf;Contract_Awards_PDFs/Tender_1023057.pdf;Contract_Awards_PDFs/Tender_1023061.pdf;Contract_Awards_PDFs/Tender_1059690.pdf;Contract_Awards_PDFs/Tender_1186179.pdf,Contract_Awards_PDFs/Tender_1008543.pdf;Contract_Awards_PDFs/Tender_1013268.pdf;Contract_Awards_PDFs/Tender_1069558.pdf;Contract_Awards_PDFs/Tender_1069559.pdf;Contract_Awards_PDFs/Tender_1082496.pdf
company,co0014,T.S Enterprise,co0034,M/S M R Enterprise,T S ENTERPRISE,M R ENTERPRISE,differs by at most two characters,edit distance <= 2,no,Contract_Awards_PDFs/Tender_1008472.pdf;Contract_Awards_PDFs/Tender_1023057.pdf;Contract_Awards_PDFs/Tender_1023061.pdf;Contract_Awards_PDFs/Tender_1059690.pdf;Contract_Awards_PDFs/Tender_1186179.pdf,Contract_Awards_PDFs/Tender_1024374.pdf;Contract_Awards_PDFs/Tender_1039767.pdf;Contract_Awards_PDFs/Tender_976291.pdf;Contract_Awards_PDFs/Tender_976770.pdf
company,co0014,T.S Enterprise,co0044,S.A Enterprise,T S ENTERPRISE,S A ENTERPRISE,differs by at most two characters,edit distance <= 2,no,Contract_Awards_PDFs/Tender_1008472.pdf;Contract_Awards_PDFs/Tender_1023057.pdf;Contract_Awards_PDFs/Tender_1023061.pdf;Contract_Awards_PDFs/Tender_1059690.pdf;Contract_Awards_PDFs/Tender_1186179.pdf,Contract_Awards_PDFs/Tender_1037582.pdf
company,co0014,T.S Enterprise,co0047,"KSBL-TSE JOINT VENTURE ( JVCA Partners [Business Share]: Khan and Sons (Bangladesh) Limited [51.000%] , T.S Enterprise [49.000%] )",T S ENTERPRISE,KSBL TSE JOINT VENTURE JVCA PARTNERS BUSINESS SHARE KHAN AND SONS BANGLADESH LIMITED 51 000 T S ENTERPRISE 49 000,one name's words are all contained in the other,,no,Contract_Awards_PDFs/Tender_1008472.pdf;Contract_Awards_PDFs/Tender_1023057.pdf;Contract_Awards_PDFs/Tender_1023061.pdf;Contract_Awards_PDFs/Tender_1059690.pdf;Contract_Awards_PDFs/Tender_1186179.pdf,Contract_Awards_PDFs/Tender_1060890.pdf
