id,name,match_key,other_printed_names,printed_name_variants,roles,documents,first_document,first_page,name_read_from_interleaved_layout,notices_published,awards_published,total_contract_value_taka,districts,parent_named,notices_with_substantive_criteria,notices_without_substantive_criteria,distinct_winners,winners
og0001,Ministry of Housing and Public Works,MINISTRY OF HOUSING AND PUBLIC WORKS,,1,ministry,1778,Contract_Awards_PDFs/Tender_1000267.pdf,1,,1141,637,37210242324.389999,Chattogram;Chittagong;Cox's Bazar;Gazipur;Khulna;Dhaka;Rajshahi,,0,0,302,M/S. Niaz Traders | M/s. Moni Construction | Momotaj Engineers Ltd. | M/S. Alam & Co. | Aliza Enterprise | Al- Arafat Services (PVT.) Limited | CPDL LTD. | MS TECHNOLOGIES LIMITED | Powercell Engineering Ltd | PROPERTY DEVELOPMENT LIMITED | Gess Bangladesh | M/S. Raquib & Brothers | HAIDER & CO. | T.S Enterprise | CONVOY SERVICE | M/S. A. R. Enterprise | M/S. Sharif & Sons | M/s Mithila Enterprise | Starlite Services Limited | M.A. COMPUTER | NURJAHAN ENTERPRISE | M/S. Mohshin & Brothers | M/S Udayan Builders | M/S. ROKEYA TRADERS | M/s Shafique and Sons | M/S Raj Development Construction | Sumon Enterprise | Nahar Construction | The Continantal Builders | Speed Engineers & Technology. | WALTON HI-TECH INDUSTRIES PLC. | M/S. Miaze Enterprise | M/S. Amanat Enterprise | M/S M R Enterprise | PAVILLION BUILDERS | Jahan Enterprise | Lucky Star | M/S Kamol Trade International | Smart Technologies (BD) Ltd. | md abu musa
og0002,Rajdhani Unnayan Kartripakkha (RAJUK),RAJDHANI UNNAYAN KARTRIPAKKHA RAJUK,,1,agency,1056,Contract_Awards_PDFs/Tender_1000267.pdf,1,,692,364,12708318784.268995,Dhaka,Ministry of Housing and Public Works,0,0,151,"M/S. Niaz Traders | Momotaj Engineers Ltd. | M/S. Alam & Co. | Aliza Enterprise | Al- Arafat Services (PVT.) Limited | Powercell Engineering Ltd | PROPERTY DEVELOPMENT LIMITED | Gess Bangladesh | HAIDER & CO. | T.S Enterprise | CONVOY SERVICE | M/S. A. R. Enterprise | M/S. Sharif & Sons | M/s Mithila Enterprise | Starlite Services Limited | M/S Udayan Builders | M/s Shafique and Sons | M/S Raj Development Construction | The Continantal Builders | Speed Engineers & Technology. | WALTON HI-TECH INDUSTRIES PLC. | M/S. Miaze Enterprise | M/S TANIN ENTERPRISE | Concept Elevators & Engineering Ltd. | MULTITRADE INTERNATIONAL | Sohel Engineering & Construction Ltd. | Convoy Service JV ( JVCA Partners [Business Share]: CONVOY SERVICE [49.000%] , Starlite Services Limited [51.000%] ) | KSBL-TSE JOINT VENTURE ( JVCA Partners [Business Share]: Khan and Sons (Bangladesh) Limited [51.000%] , T.S Enterprise [49.000%] ) | TCEL TE JV ( JVCA Partners [Business Share]: THE CIVIL ENGINEERS LIMITED [50.000%] , M/S TAJEEM ENTERPRISE [50.000%] ) | AK- Amin Development Co. Limited | M/s. SS & MT (JV) ( JVCA Partners [Business Share]: Monir Engineering And Construction Ltd. [49.000%] , M/S. Sharif & Sons [51.000%] ) | SSL- CONVOY JV ( JVCA Partners [Business Share]: CONVOY SERVICE [49.000%] , Starlite Services Limited [51.000%] ) | M/S Sunny Construction | NATIONAL DEVELOPMENT ENGINEERS LTD. | Otobi Limited | DAFFODIL ELECTRIC COMPANY LIMITED | The United Construction Co. | Evergreen Printing press | ENOVA COMMUNICATIONS | KHAN BROTHERS ENERGY CONSORTIUM"
og0003,Superintending Engineer (Civil Circle-3),SUPERINTENDING ENGINEER CIVIL CIRCLE 3,,1,procuring entity,10,Contract_Awards_PDFs/Tender_1000267.pdf,1,,7,3,148491386.37,Dhaka,Rajdhani Unnayan Kartripakkha (RAJUK),0,7,2,M/S. Niaz Traders | M/S. Alam & Co.
og0004,Rajshahi Development Authority,RAJSHAHI DEVELOPMENT AUTHORITY,,1,agency,78,Contract_Awards_PDFs/Tender_1000426.pdf,1,,49,29,2144805019.807,Rajshahi,Ministry of Housing and Public Works,0,0,27,"M/s. Moni Construction | Abdul Monem Ltd | Mechanism Trade & Engineering Ltd. | M/S Gazi Construction | M/S HOSSAIN ENTERPRISE | MAA Enterprise | Rithin Enterprise and Kohinoor Enterprise J.V ( JVCA Partners [Business Share]: M/S. Kohinoor Enterprise [0.000%] , Rithin Enterprise [0.000%] ) | Thakral Information Systems Private Limited | PS Engineering | ADVANCE TECHNOLOGY CONSORTIUM LIMITED | The Engineers & Architects Limited | Khaled Mohammad Selim | YSP TECHNOLOGY | Md.kabir Hossain | Rithin Enterprise | Arc Bangladesh Ltd. | PARVEZ CONSTRUCTION LIMITED | ETASA ENTERPRISE | Noor Hossain Ltd. (JV) ( JVCA Partners [Business Share]: MD. DOLLAR [80.000%] , Noor Hossain Limited [20.000%] ) | Premier Trading International | M/S.Modina Enterprise | RUPOKAR | M/S Shapla Traders | KEECO LIMITED | MD. DOLLAR | Md. Badrul Iqbal Ltd. | SHAMIM ENTERPRISE (PVT) LTD"
og0005,Office of the Project Director,OFFICE OF THE PROJECT DIRECTOR,,1,procuring entity,15,Contract_Awards_PDFs/Tender_1000426.pdf,1,,9,6,286044197.822,Rajshahi,Rajshahi Development Authority,0,9,6,M/s. Moni Construction | Premier Trading International | M/S.Modina Enterprise | M/S Shapla Traders | Md. Badrul Iqbal Ltd. | MD. DOLLAR
og0006,"Construction of multi-storied apartment Buildings on 9(Nine) nos abandoned plot at Gulshan,Mohammadpur, Lalmatia & Dhanmondi, Dhaka.",CONSTRUCTION OF MULTI STORIED APARTMENT BUILDINGS ON 9 NINE NOS ABANDONED PLOT AT GULSHAN MOHAMMADPUR LALMATIA DHANMONDI DHAKA,,1,procuring entity,63,Contract_Awards_PDFs/Tender_1000945.pdf,1,,39,24,1592399615.727,Dhaka,Rajdhani Unnayan Kartripakkha (RAJUK),3,36,14,"Momotaj Engineers Ltd. | Concept Elevators & Engineering Ltd. | KHAN BROTHERS ENERGY CONSORTIUM | M/S MEHNUR TRADERS | M/S. Alam & Co. | HSL-RE JV. ( JVCA Partners [Business Share]: Hasan & Sons Ltd. [10.000%] , M/S REZA ENTERPRISE [90.000%] ) | Udayan-Starlite-Convoy JV ( JVCA Partners [Business Share]: M/S Udayan Builders [35.000%] , CONVOY SERVICE [25.000%] , Starlite Services Limited [40.000%] ) | MECO INTERNATIONAL | M/s Anas Trading International | M/S Mirza Construction | T.S Enterprise | Gess Bangladesh | National Development Engineers Ltd. - M/S. Niaz Traders JV (NDE-NT JV) ( JVCA Partners [Business Share]: NATIONAL DEVELOPMENT ENGINEERS LTD. [20.000%] , M/S. Niaz Traders [80.000%] ) | Rangpur Metal Industries Limited"
og0007,Superintending Engineer (Civil Circle-1),SUPERINTENDING ENGINEER CIVIL CIRCLE 1,,1,procuring entity,37,Contract_Awards_PDFs/Tender_1001120.pdf,1,,25,12,71535587.652,Dhaka,Rajdhani Unnayan Kartripakkha (RAJUK),0,25,10,M/S. Alam & Co. | Al- Arafat Services (PVT.) Limited | Aliza Enterprise | INQILAB ENTERPRISE | M/S. A. R. Enterprise | M/S. AMIN TRADING CORPORATION | M/S Raj Development Construction | M/S. Maliha Enterprise | Donatien International | Nur Traders
og0008,Office of the Superintending Engineer (Mechanical),OFFICE OF THE SUPERINTENDING ENGINEER MECHANICAL,,1,procuring entity,54,Contract_Awards_PDFs/Tender_1001460.pdf,1,,36,18,181519414.045,Dhaka,Rajdhani Unnayan Kartripakkha (RAJUK),0,36,8,Aliza Enterprise | MULTITRADE INTERNATIONAL | Sohel Engineering & Construction Ltd. | T.S Enterprise | Otobi Limited | M/S. Mehezabin Enterprise | Furniture Concept & Interior Ltd. | M/S. Maliha Enterprise
og0009,Chittagong Development Authority,CHITTAGONG DEVELOPMENT AUTHORITY,,1,agency,272,Contract_Awards_PDFs/Tender_1001782.pdf,1,,176,96,13317897615.984003,Chattogram;Chittagong,Ministry of Housing and Public Works,0,0,59,"CPDL LTD. | MS TECHNOLOGIES LIMITED | M/S. Raquib & Brothers | M/S. Mohshin & Brothers | M/S. Amanat Enterprise | md abu musa | TD Trading | The Engineers & Architects Limited | M/S. Haroon & Brothers | M/S. R S A TRADE INTERNATIONAL | B & S ENGINEERING | Fatema Construction BD | M/S. R.S. Enterprise | M/S. AS - RAS Trading (JV) ( JVCA Partners [Business Share]: M/S. Abdus Salam [0.000%] , M/S RASHIA&SONS TRADING [0.000%] ) | Smart Digital Technologies | M/S Habib Enterprise | M/s. Sohel Incorporation | M Jamal & Company Limited | M/S. Gulzar Trading | M/S. S.K. Traders & Suppliers | M/S. National Builders | S. Ananta - Abdus Salam (JV) ( JVCA Partners [Business Share]: M/S. Abdus Salam [49.000%] , S. Ananta Bikash Tripura [51.000%] ) | M/S. Nice Enterprise | M/s Anas Trading International | Dulal Enterprise (Pvt) Ltd. | M/S. Khaja G.N Enterpriser | Innovative Online Ltd. | ELECTROMECH AUTOMATION SERVICES LTD | Md M G Azgar Hossain | M/S KOBITA CONSTRUCTION | Endeavour Technologies Ltd | M/S. Shah Amanat Traders | Mahmud Construction | Spectra Engineers Ltd. | M/s.Suraim Enterprise | M/S. Jashim & Sons | M/s J S Enterprise | Power Net Enterprise | Trade Spin | M/S Hasan & Brothers"
og0010,Project Director (CDA Square),PROJECT DIRECTOR CDA SQUARE,,1,procuring entity,24,Contract_Awards_PDFs/Tender_1001782.pdf,1,,14,10,847449162.962,Chattogram;Chittagong,Chittagong Development Authority,14,0,8,CPDL LTD. | MS TECHNOLOGIES LIMITED | md abu musa | M Jamal & Company Limited | Flowater Solutions Ltd. | M/s J S Enterprise | Ocean Electrical Limited | BM Energy (BD) limited
