id,name,match_key,other_printed_names,printed_name_variants,roles,documents,first_document,first_page,name_read_from_interleaved_layout,tenders_invited,awards_approved,designations_printed,organizations,tender_ids,declared_owner_of,declared_ownership
pp0001,Saber Ahmed,SABER AHMED,saber ahmed,2,official approving the award;official inviting the tender,23,Contract_Awards_PDFs/Tender_1000267.pdf,1,,13,10,Superintending Engineer | PD ( Gulshan-Banani-Baridhara Lake | PD ( Gulshan-Banani-Baridhara Lake Development Project),Superintending Engineer (Civil Circle-3) | Superintending Engineer (Civil Circle-4) | Gulshan-Banani-Baridhara Lake Development Project,1000267;1035179;1044805;1081213;1082494;1082495;1082496;1082525;1170765;1170766;1225895;1225896;667693,,
pp0002,Md. Abdullah Al Tarique,MD ABDULLAH AL TARIQUE,,1,official approving the award;official inviting the tender,36,Contract_Awards_PDFs/Tender_1000426.pdf,1,,21,15,Superintending Engineer | Executive Engineer | Assistant Engineer,Office of the Project Director | Office of the Chairman,1000426;1140112;1140113;1142188;1234511;860822;860823;860824;880238;929618;935036;935037;935862;935863;941511;941590;941603;960601;961984;976553;984364;859008,,
pp0003,Rahat Muslemin,RAHAT MUSLEMIN,,1,official approving the award;official inviting the tender,63,Contract_Awards_PDFs/Tender_1000945.pdf,1,,39,24,PD (9apt),"Construction of multi-storied apartment Buildings on 9(Nine) nos abandoned plot at Gulshan,Mohammadpur, Lalmatia & Dhanmondi, Dhaka.",1000945;1017045;1018667;1018730;1062494;1082896;1082915;1117569;1138415;1173557;446869;447380;479604;583663;583666;590111;591292;591374;591591;591741;592175;592354;608564;608964;609656;614373;614620;615021;639295;639913;639927;702345;737121;775169;829141;840299;842165;857646;879523,,
pp0004,Mohammad Muzaffar Uddin,MOHAMMAD MUZAFFAR UDDIN,,1,official approving the award;official inviting the tender,125,Contract_Awards_PDFs/Tender_1001120.pdf,1,,82,43,PD (Uttara Appartment) | Superintending Engineer,Uttara Apartment Project | Superintending Engineer (Civil Circle-1),1000530;1001120;1001613;1003623;1008266;1017448;1023051;1023052;1023053;1023054;1023057;1023059;1023060;1023061;1023063;1094618;1123494;1124881;1135970;1149822;423280;501956;502059;502977;502982;502984;510186;514341;514342;514343;584524;597090;619039;620619;637168;637169;637171;656595;659096;660091;662605;671803;671804;671805;684610;690870;699109;699111;699609;713439;713622;732686;745254;745718;747837;755031;770668;770669;775307;775309;775518;788086;796189;800104;800105;813704;826146;860503;860528;935084;935090;935092;935093;944366;957875;959288;962656;962658;962659;974362;982350;984794,,
pp0005,Sabbir Bin Taher,SABBIR BIN TAHER,,1,official approving the award;official inviting the tender,61,Contract_Awards_PDFs/Tender_1001460.pdf,1,,39,22,Sup. Eng. (Mechanical) | Sup. Eng. (Elec.),Office of the Superintending Engineer (Mechanical) | Office of the Superintending Engineer (Electrical),1001460;1001461;1014223;1031800;1031801;1056194;1056195;1059690;1062628;1077063;1109349;1109365;1134392;1134396;1140010;1140011;1154317;1167810;1205116;1240321;1240322;1240323;1250614;1294288;1297773;825783;825901;828053;832064;832070;854205;887587;887588;887589;888738;888828;891746;938968;938969;747343;755274;755479;756104,,
pp0006,Kazi Kader Newaz,KAZI KADER NEWAZ,,1,official approving the award;official inviting the tender,54,Contract_Awards_PDFs/Tender_1001782.pdf,1,,31,23,Assistant Engineer | Executive Engineer,"Project Director (CDA Square) | Construction Division-1, Chattogram Development Authority | Construction Division-1 | Project Director(KK Newaz), Chittagong Development Authority | Project Director (Dewanhat)",1001782;1001843;1023323;1023333;1028832;133881;223246;527700;528774;547817;596661;728810;730799;735107;736874;791688;824096;851858;851863;851864;851865;862601;862635;863109;863116;909179;909193;909196;909308;944909;954661,,
pp0007,MOHAMMAD NAZMUS SAKIB JAMALI,MOHAMMAD NAZMUS SAKIB JAMALI,mohammad nazmus sakib jamali,2,official approving the award;official inviting the tender,122,Contract_Awards_PDFs/Tender_1002814.pdf,1,,71,51,Sup. Eng. (Elec.),Office of the Superintending Engineer (Electrical),1002814;1002854;1008472;1013104;1014738;1022432;1030720;1030829;1031711;1031714;1038890;1074002;1074022;1074661;1081271;1081736;1083479;1083760;1097226;1097756;1135936;1146506;1146509;1146510;1146511;1147755;1186178;1186179;1189629;1205153;1205154;1205157;1205162;1206004;1215675;1215677;1222794;1222799;1232699;1234620;1234622;1262415;1262416;1265185;1272697;685799;685873;685885;704135;704165;706666;936176;936225;936227;936248;948435;948446;948448;969450;969481;969489;969822;980083;980096;980099;980104;980158;989834;989865;989883;998795;622539;622586;622637;888738;888828,,
pp0008,Mohammad Hasan,MOHAMMAD HASAN,,1,official approving the award;official inviting the tender,14,Contract_Awards_PDFs/Tender_100483.pdf,1,,8,6,Project Director | Executive Engineer,"Project Director(Silimpur) | Project Director(DC Road) | Construction Division-1, Chattogram Development Authority | Project Director(Mohammad Hasan)",100483;101083;1115432;200650;201012;201451;281992;303865,,
pp0009,Md Mobarak Hossain,MD MOBARAK HOSSAIN,Md. Mobarak Hossain,2,official approving the award;official inviting the tender,40,Contract_Awards_PDFs/Tender_1007300.pdf,1,,24,16,Superintending Engineer,Superintending Engineer (Civil Circle-4) | Uttara Lake Development Project,1007300;1013268;1013269;1013270;1016865;1016866;1016867;639202;641674;661661;661888;710843;727612;752801;792351;870258;870259;870260;870261;889937;889938;948744;948745;948746,,
pp0010,Md. Nurul Islam,MD NURUL ISLAM,,1,official approving the award;official inviting the tender,61,Contract_Awards_PDFs/Tender_1008542.pdf,1,,48,13,Project Director | PD (Jhilmil) | Sup. Eng. (Mechanical) | Sup. Eng. (Elec.),Purbachal New Town Project | Development of Residential and commercial Infrastructure at Jhilmil Residential Project Area | Office of the Superintending Engineer (Mechanical) | Office of the Superintending Engineer (Electrical),1008542;1008543;1008544;1008545;1008546;1008547;1008548;1011370;1011371;1060890;1060891;1060892;1060893;1060894;1060895;1066944;1066945;1066946;1069558;1069559;1069560;1069561;1069562;1069563;1069564;1071058;1071059;476403;476405;476406;476407;476408;722613;722614;747343;753302;753303;753305;753306;753307;753308;753309;753310;753311;753312;755274;755479;756104;975322,,
