id,name,match_key,other_printed_names,printed_name_variants,roles,documents,first_document,first_page,name_read_from_interleaved_layout,notices,awards,total_contract_value_taka,project_codes_printed,procuring_entities,tender_ids
pr0001,Building Repair and Maintenance,BUILDING REPAIR AND MAINTENANCE,,1,charged an awarded contract,6,Contract_Awards_PDFs/Tender_1000267.pdf,1,,0,6,121698887.391,,Superintending Engineer (Civil Circle-3) | Office of the Chief Engineer (Implementation) | Superintending Engineer (Civil Circle-1),1000267;189828;251218;507537;514341;514343
pr0002,Development of PRANTIK Residential Area (3rd Revised),DEVELOPMENT OF PRANTIK RESIDENTIAL AREA 3RD REVISED,,1,charged an awarded contract;charged a tender notice,10,Contract_Awards_PDFs/Tender_1000426.pdf,1,,6,4,238213569.27,9320000 40,Office of the Project Director,1000426;935862;935863;941603;961984;976553
pr0003,NA,NA,,1,charged an awarded contract,237,Contract_Awards_PDFs/Tender_1000945.pdf,1,,0,237,4943984044.005997,,"Construction of multi-storied apartment Buildings on 9(Nine) nos abandoned plot at Gulshan,Mohammadpur, Lalmatia & Dhanmondi, Dhaka. | Superintending Engineer (Civil Circle-1) | Uttara Apartment Project | Superintending Engineer (Civil Circle-4) | Office of the Assistant Programmer | Office of Exen (Maintenance) | Cox's Bazar Development Authority | Construction Division-1, Chattogram Development Authority | Project Director (CDA Square) | Office of the Project Director (KDA Bus Terminal) | Project Director(M.Uddin), Chittagong Development Authority | Office of the Chairman | Office of the Project Director, CoxDA Residential Flat Project-1 | Management Information System (MIS) | Office of Chief Engineer | Grid Maintenance Division, Comilla | Office of the Executive Engineer, LGED, Barisal | office of Chief Engineer ( Project & Design) | Dinajpur O&M Division | Project Director(M.Uddin) | Office of Planning Officer | Project Director(Mohammad Hasan) | Project Director(Rajib Das) | Electrical & Mechanical Engineering (EME) | Project Director (Saltgola) | Office of the Executive Engineer (Works) | Construction Division-3 | Director (Admin) | Project Director (Dewanhat) | Office of the Project Director (KDA Bipone Bitan) | Superintending Engineer-2 | Project Director(CRBKRKBC) | Zila Parishad, Sirajganj",1000945;1001120;1001613;1003623;1007300;1009276;1010247;1013009;1016323;1016492;1016870;1023051;1023052;1023053;1023054;1023057;1023060;1023061;1023333;1024374;1024391;1024467;1024517;1024525;1024787;1024807;1024943;1024948;1028832;1037582;1039767;1062494;1072723;1076521;1082896;1094618;1117569;1119438;1121584;1123494;1128572;1138415;1140112;1140113;1142188;1148941;1150077;1150442;1150459;1150469;1152584;1152671;1152766;1157085;1160337;1163187;1163354;1172101;1172974;1173101;1173102;1173557;1178437;1183753;1183822;1183835;1184463;1184466;1184470;1185193;1199127;1207915;1211856;1231413;1234511;1258384;1267626;149365;15000;168749;179865;18994;20558;234888;235131;235166;262818;276338;276885;291722;302667;303865;309557;342502;360423;387658;398199;409461;410561;417304;418364;423315;424168;427246;436738;446283;448675;459665;471795;501707;504349;504351;514221;515366;519402;523954;528460;539744;550266;550267;561734;595725;597090;598954;608964;609656;614373;614376;615021;616340;620619;629331;631780;637086;637169;639927;640368;644083;647622;653051;658227;661661;661888;663428;663429;667218;669151;669414;670154;671805;672061;681465;683811;684610;688763;688794;690870;695670;699109;699111;699961;710843;713622;727612;728690;728691;728692;728810;730799;732686;733637;737121;747837;770669;773275;775307;775518;780102;781011;783087;791688;808097;815786;824096;826146;827087;836225;836329;840372;842165;851863;851864;851865;857646;860503;865422;865423;865569;867256;879523;882631;882632;889938;909179;909196;916128;918775;925146;925988;935064;935084;935090;935093;937128;943936;944366;945416;945875;949817;949919;950811;951146;957875;95841;959288;960601;962656;962658;962659;963987;965239;966347;971832;971997;974362;978265;984794
pr0004,Repair Maintenance of Heavy Machinery & Equipment,REPAIR MAINTENANCE OF HEAVY MACHINERY EQUIPMENT,,1,charged an awarded contract;charged a tender notice,51,Contract_Awards_PDFs/Tender_1001460.pdf,1,,34,17,18466882.595,Xen/Mechanical-1/Repair & Maintenance,Office of the Superintending Engineer (Mechanical) | office of the Chief Engineer ( Project & Design),1001460;1001461;101974;1031801;1059690;1109349;1167810;1240321;1240322;1240323;1250614;1294288;134910;134917;144571;214561;236033;236036;236043;236045;236048;329551;329552;329553;329556;72156;747343;755479;756104;887587;887588;887589;938968;938969
pr0005,"Construction of CDA Square at Nasirabad, Chittagong",CONSTRUCTION OF CDA SQUARE AT NASIRABAD CHITTAGONG,,1,charged an awarded contract;charged a tender notice,21,Contract_Awards_PDFs/Tender_1001782.pdf,1,,12,9,838460242.862,CDA Square-02,Project Director (CDA Square),1001782;1001843;133881;223246;862601;862635;863109;863116;909193;909308;944909;954661
pr0006,Lift and Electrical Equipement Repare,LIFT AND ELECTRICAL EQUIPEMENT REPARE,,1,charged an awarded contract,7,Contract_Awards_PDFs/Tender_1002814.pdf,1,,0,7,14003104.944,,Office of the Superintending Engineer (Electrical),1002814;1002854;1081271;1083479;536846;888828;948446
pr0007,Widening and Improvement of Silimpur Residential Area (East),WIDENING AND IMPROVEMENT OF SILIMPUR RESIDENTIAL AREA EAST,,1,charged an awarded contract;charged a tender notice,8,Contract_Awards_PDFs/Tender_100483.pdf,1,,4,4,89959729.932,SRA,Project Director(Silimpur),100483;200650;201012;201451
pr0008,Construction of Staff Quarter for officer/employees,CONSTRUCTION OF STAFF QUARTER FOR OFFICER EMPLOYEES,,1,charged an awarded contract;charged a tender notice,4,Contract_Awards_PDFs/Tender_1008472.pdf,1,,2,2,7170739.2,RAJUK/Staff/BC-01,Office of the Superintending Engineer (Electrical),1008472;1147755
pr0009,Purbachal New town Project,PURBACHAL NEW TOWN PROJECT,,1,charged an awarded contract;charged a tender notice,189,Contract_Awards_PDFs/Tender_1008542.pdf,1,,127,62,2932810569.655002,5-3205-3111-PURBACHAL,Purbachal New Town Project | Office of the Chief Engineer (Implementation) | office of the Chief Engineer ( Project & Design),1008542;1008543;1008544;1008545;1008546;1008547;1008548;1011370;1011371;1060890;1060891;1060892;1060893;1060894;1060895;1066944;1066945;1066946;1069558;1069559;1069560;1069561;1069562;1069563;1069564;1071058;1071059;113428;119629;146443;146449;202993;209496;209498;209938;209939;251224;251227;292111;293000;293004;293018;301503;301505;320832;339042;339493;339496;427820;427825;427828;427832;427834;427848;427851;427855;427858;427861;427863;466081;466089;466094;466100;466105;466107;466108;466109;505037;528756;528758;535709;535710;535712;535717;535718;535719;590668;601508;601511;601512;601514;601516;601518;601519;601520;616291;616292;616293;616294;632736;632746;632748;632749;639731;639732;72113;72139;778651;778652;778653;789917;789918;789920;789921;789948;807901;807902;807903;807938;827548;858747;870250;870251;870252;901824;902293;920944;920945;920946;932337;957252;957253;957254;957255;957256;975321;975322
pr0010,Widening and Improvement of DC Road,WIDENING AND IMPROVEMENT OF DC ROAD,,1,charged an awarded contract;charged a tender notice,2,Contract_Awards_PDFs/Tender_101083.pdf,1,,1,1,3963689.307,5015,Project Director(DC Road),101083
