source_type,source_id,relation,target_type,target_id,detail,evidence_file,evidence_page
company,co0001,was awarded,tender,1000267,104498747.100,Contract_Awards_PDFs/Tender_1000267.pdf,1
organization,og0003,awarded contract to,company,co0001,104498747.100,Contract_Awards_PDFs/Tender_1000267.pdf,1
person,pp0001,approved award,tender,1000267,Superintending Engineer,Contract_Awards_PDFs/Tender_1000267.pdf,1
organization,og0003,part of,organization,og0002,,Contract_Awards_PDFs/Tender_1000267.pdf,1
organization,og0002,part of,organization,og0001,,Contract_Awards_PDFs/Tender_1000267.pdf,1
tender,1000267,belongs to project,project,pr0001,,Contract_Awards_PDFs/Tender_1000267.pdf,1
company,co0002,was awarded,tender,1000426,15808878.000,Contract_Awards_PDFs/Tender_1000426.pdf,1
organization,og0005,awarded contract to,company,co0002,15808878.000,Contract_Awards_PDFs/Tender_1000426.pdf,1
person,pp0002,approved award,tender,1000426,Superintending Engineer,Contract_Awards_PDFs/Tender_1000426.pdf,1
organization,og0005,part of,organization,og0004,,Contract_Awards_PDFs/Tender_1000426.pdf,1
organization,og0004,part of,organization,og0001,,Contract_Awards_PDFs/Tender_1000426.pdf,1
tender,1000426,belongs to project,project,pr0002,,Contract_Awards_PDFs/Tender_1000426.pdf,1
company,co0003,was awarded,tender,1000945,91452674.190,Contract_Awards_PDFs/Tender_1000945.pdf,1
organization,og0006,awarded contract to,company,co0003,91452674.190,Contract_Awards_PDFs/Tender_1000945.pdf,1
person,pp0003,approved award,tender,1000945,PD (9apt),Contract_Awards_PDFs/Tender_1000945.pdf,1
organization,og0006,part of,organization,og0002,,Contract_Awards_PDFs/Tender_1000945.pdf,1
organization,og0002,part of,organization,og0001,,Contract_Awards_PDFs/Tender_1000945.pdf,1
tender,1000945,belongs to project,project,pr0003,,Contract_Awards_PDFs/Tender_1000945.pdf,1
company,co0004,was awarded,tender,1001120,10599930.000,Contract_Awards_PDFs/Tender_1001120.pdf,1
organization,og0007,awarded contract to,company,co0004,10599930.000,Contract_Awards_PDFs/Tender_1001120.pdf,1
person,pp0004,approved award,tender,1001120,Superintending Engineer,Contract_Awards_PDFs/Tender_1001120.pdf,1
organization,og0007,part of,organization,og0002,,Contract_Awards_PDFs/Tender_1001120.pdf,1
organization,og0002,part of,organization,og0001,,Contract_Awards_PDFs/Tender_1001120.pdf,1
tender,1001120,belongs to project,project,pr0003,,Contract_Awards_PDFs/Tender_1001120.pdf,1
company,co0005,was awarded,tender,1001460,1060533.000,Contract_Awards_PDFs/Tender_1001460.pdf,1
organization,og0008,awarded contract to,company,co0005,1060533.000,Contract_Awards_PDFs/Tender_1001460.pdf,1
person,pp0005,approved award,tender,1001460,Sup. Eng. (Mechanical),Contract_Awards_PDFs/Tender_1001460.pdf,1
organization,og0008,part of,organization,og0002,,Contract_Awards_PDFs/Tender_1001460.pdf,1
organization,og0002,part of,organization,og0001,,Contract_Awards_PDFs/Tender_1001460.pdf,1
tender,1001460,belongs to project,project,pr0004,,Contract_Awards_PDFs/Tender_1001460.pdf,1
company,co0005,was awarded,tender,1001461,1300189.500,Contract_Awards_PDFs/Tender_1001461.pdf,1
organization,og0008,awarded contract to,company,co0005,1300189.500,Contract_Awards_PDFs/Tender_1001461.pdf,1
person,pp0005,approved award,tender,1001461,Sup. Eng. (Mechanical),Contract_Awards_PDFs/Tender_1001461.pdf,1
organization,og0008,part of,organization,og0002,,Contract_Awards_PDFs/Tender_1001461.pdf,1
organization,og0002,part of,organization,og0001,,Contract_Awards_PDFs/Tender_1001461.pdf,1
tender,1001461,belongs to project,project,pr0004,,Contract_Awards_PDFs/Tender_1001461.pdf,1
company,co0006,was awarded,tender,1001613,13217985.000,Contract_Awards_PDFs/Tender_1001613.pdf,1
organization,og0007,awarded contract to,company,co0006,13217985.000,Contract_Awards_PDFs/Tender_1001613.pdf,1
person,pp0004,approved award,tender,1001613,Superintending Engineer,Contract_Awards_PDFs/Tender_1001613.pdf,1
organization,og0007,part of,organization,og0002,,Contract_Awards_PDFs/Tender_1001613.pdf,1
organization,og0002,part of,organization,og0001,,Contract_Awards_PDFs/Tender_1001613.pdf,1
tender,1001613,belongs to project,project,pr0003,,Contract_Awards_PDFs/Tender_1001613.pdf,1
company,co0007,was awarded,tender,1001782,52490000.531,Contract_Awards_PDFs/Tender_1001782.pdf,1
organization,og0010,awarded contract to,company,co0007,52490000.531,Contract_Awards_PDFs/Tender_1001782.pdf,1
person,pp0006,approved award,tender,1001782,Assistant Engineer,Contract_Awards_PDFs/Tender_1001782.pdf,1
organization,og0010,part of,organization,og0009,,Contract_Awards_PDFs/Tender_1001782.pdf,1
organization,og0009,part of,organization,og0001,,Contract_Awards_PDFs/Tender_1001782.pdf,1
tender,1001782,belongs to project,project,pr0005,,Contract_Awards_PDFs/Tender_1001782.pdf,1
company,co0008,was awarded,tender,1001843,24247478.309,Contract_Awards_PDFs/Tender_1001843.pdf,1
organization,og0010,awarded contract to,company,co0008,24247478.309,Contract_Awards_PDFs/Tender_1001843.pdf,1
person,pp0006,approved award,tender,1001843,Assistant Engineer,Contract_Awards_PDFs/Tender_1001843.pdf,1
organization,og0010,part of,organization,og0009,,Contract_Awards_PDFs/Tender_1001843.pdf,1
organization,og0009,part of,organization,og0001,,Contract_Awards_PDFs/Tender_1001843.pdf,1
tender,1001843,belongs to project,project,pr0005,,Contract_Awards_PDFs/Tender_1001843.pdf,1
company,co0009,was awarded,tender,1002814,907067.988,Contract_Awards_PDFs/Tender_1002814.pdf,1
organization,og0011,awarded contract to,company,co0009,907067.988,Contract_Awards_PDFs/Tender_1002814.pdf,1
person,pp0007,approved award,tender,1002814,Sup. Eng. (Elec.),Contract_Awards_PDFs/Tender_1002814.pdf,1
organization,og0011,part of,organization,og0002,,Contract_Awards_PDFs/Tender_1002814.pdf,1
organization,og0002,part of,organization,og0001,,Contract_Awards_PDFs/Tender_1002814.pdf,1
tender,1002814,belongs to project,project,pr0006,,Contract_Awards_PDFs/Tender_1002814.pdf,1
company,co0010,was awarded,tender,1002854,1703786.400,Contract_Awards_PDFs/Tender_1002854.pdf,1
organization,og0011,awarded contract to,company,co0010,1703786.400,Contract_Awards_PDFs/Tender_1002854.pdf,1
person,pp0007,approved award,tender,1002854,Sup. Eng. (Elec.),Contract_Awards_PDFs/Tender_1002854.pdf,1
organization,og0011,part of,organization,og0002,,Contract_Awards_PDFs/Tender_1002854.pdf,1
organization,og0002,part of,organization,og0001,,Contract_Awards_PDFs/Tender_1002854.pdf,1
tender,1002854,belongs to project,project,pr0006,,Contract_Awards_PDFs/Tender_1002854.pdf,1
company,co0011,was awarded,tender,1003623,98995747.688,Contract_Awards_PDFs/Tender_1003623.pdf,1
organization,og0012,awarded contract to,company,co0011,98995747.688,Contract_Awards_PDFs/Tender_1003623.pdf,1
person,pp0004,approved award,tender,1003623,PD (Uttara Appartment),Contract_Awards_PDFs/Tender_1003623.pdf,1
organization,og0012,part of,organization,og0002,,Contract_Awards_PDFs/Tender_1003623.pdf,1
organization,og0002,part of,organization,og0001,,Contract_Awards_PDFs/Tender_1003623.pdf,1
tender,1003623,belongs to project,project,pr0003,,Contract_Awards_PDFs/Tender_1003623.pdf,1
company,co0012,was awarded,tender,100483,53515977.894,Contract_Awards_PDFs/Tender_100483.pdf,1
organization,og0013,awarded contract to,company,co0012,53515977.894,Contract_Awards_PDFs/Tender_100483.pdf,1
person,pp0008,approved award,tender,100483,Project Director,Contract_Awards_PDFs/Tender_100483.pdf,1
organization,og0013,part of,organization,og0009,,Contract_Awards_PDFs/Tender_100483.pdf,1
organization,og0009,part of,organization,og0001,,Contract_Awards_PDFs/Tender_100483.pdf,1
tender,100483,belongs to project,project,pr0007,,Contract_Awards_PDFs/Tender_100483.pdf,1
company,co0013,was awarded,tender,1007300,25463336.391,Contract_Awards_PDFs/Tender_1007300.pdf,1
organization,og0014,awarded contract to,company,co0013,25463336.391,Contract_Awards_PDFs/Tender_1007300.pdf,1
person,pp0009,approved award,tender,1007300,Superintending Engineer,Contract_Awards_PDFs/Tender_1007300.pdf,1
organization,og0014,part of,organization,og0002,,Contract_Awards_PDFs/Tender_1007300.pdf,1
organization,og0002,part of,organization,og0001,,Contract_Awards_PDFs/Tender_1007300.pdf,1
tender,1007300,belongs to project,project,pr0003,,Contract_Awards_PDFs/Tender_1007300.pdf,1
company,co0014,was awarded,tender,1008472,5262343.200,Contract_Awards_PDFs/Tender_1008472.pdf,1
