tender_id,notice_file,notice_pages,ministry,ministry_id,agency,agency_id,procuring_entity,procuring_entity_id,procuring_entity_code,district,district_original,city,thana,country,phone,procurement_nature,procurement_type,event_type,invitation_for,invitation_ref,status,status_original,app_id,method,budget_type,source_of_funds,development_partner,project_code,project,project_id,package_no,package_description,category,evaluation_type,document_price_taka,document_price_original,payment_mode,published_date,last_selling_date,premeeting_start,premeeting_end,closing_date,opening_date,security_last_date,security_valid_until,tender_valid_until,inviting_officer,inviting_officer_id,inviting_officer_designation,lots,eligibility_source_field,eligibility_page,eligibility_chars,eligibility_clauses,eligibility_numbering,eligibility_published,eligibility_substantive,eligibility_categories,amended,amendment_no,amendment_no_printed,amendment_changed_fields,eligibility_amended
1001782,Tender Notice_PDFs/CDA_Tender_1001782.pdf,2,Ministry of Housing and Public Works,og0001,Chittagong Development Authority,og0009,Project Director (CDA Square),og0010,,Chattogram,Chattogram,Chittagong,Kotowali,Bangladesh,031-625562,Works,NCT,TENDER,Tender - Single Lot,PD/CDASQR/lift/E-65/01,Contract Awarded,Contract Awarded,196376,Open Tendering Method (OTM),Own Fund,Own fund,,CDA Square-02,"Construction of CDA Square at Nasirabad, Chittagong",pr0005,PD/CDAsqr/lift/65/02,"Supply, Installation, Testing & Commissioning of Lift at CDA SQUARE Project (Lot-2).",Electrical domestic appliances; Domestic appliances; Installation services of electrical and mechanical equipment;,Lot wise,4000,4000,Payment through Bank,2024-07-08,2024-08-04,2024-07-08,2024-07-15,2024-08-05,2024-08-05,2024-08-05,2024-12-01,2024-11-03,Kazi Kader Newaz,pp0006,Assistant Engineer,1,eligibility,1,1182,3,(n),yes,yes,cert_licence_class;cert_other;cert_tin;cert_trade_licence;cert_vat;experience_general;experience_similar;financial_credit;financial_liquid;financial_turnover;other;subcontract,no,,,,no
1001843,Tender Notice_PDFs/CDA_Tender_1001843.pdf,2,Ministry of Housing and Public Works,og0001,Chittagong Development Authority,og0009,Project Director (CDA Square),og0010,,Chattogram,Chattogram,Chittagong,Kotowali,Bangladesh,031-625562,Works,NCT,TENDER,Tender - Single Lot,PD/CDASQR/e64/02,Contract Awarded,Contract Awarded,196376,Open Tendering Method (OTM),Own Fund,Own fund,,CDA Square-02,"Construction of CDA Square at Nasirabad, Chittagong",pr0005,PD/CDAsqr/CCTV/e-64,"CCTV, IP System & Fire Fighting Remaining Works at CDA SQUARE Project, Chattogram.",Non-electric domestic appliances; Domestic appliances; Emergency and security equipment; Miscellaneous equipment n.e.c.; Miscellaneous equipment;,Lot wise,4000,4000,Payment through Bank,2024-07-08,2024-07-29,2024-07-08,2024-07-14,2024-07-30,2024-07-30,2024-07-30,2024-11-25,2024-10-28,Kazi Kader Newaz,pp0006,Assistant Engineer,1,eligibility,1,1138,3,(n),yes,yes,cert_licence_class;cert_other;cert_tin;cert_trade_licence;cert_vat;experience_general;experience_similar;financial_credit;financial_liquid;financial_turnover;other;subcontract,no,,,,no
1002615,Tender Notice_PDFs/CDA_Tender_1002615.pdf,2,Ministry of Housing and Public Works,og0001,Chittagong Development Authority,og0009,Project Director(Water Logging),og0085,,Chattogram,Chattogram,Chattogran,Chattogram City Corporation,Bangladesh,880-1817748289,Goods,NCT,TENDER,Tender - Single Lot,PD/wl/est/exc/125/551,,,204126,Open Tendering Method (OTM),Development,"Government, Own fund",,224149200,"Re-excavation, Expansion and Development of Khal for Mitigation Water logging at Chattogram City",pr0092,PD/waterlogging/est/excav/125,Procurment of Excavator (Long Boom) under Chittagong Water Logging Mitigation Project.,"Electromechanical equipment; Electronic, electromechanical and electrotechnical supplies;",Lot wise,4000,4000,Payment through Bank,2024-12-26,2025-01-26,2024-12-26,2025-01-05,2025-01-27,2025-01-27,2025-01-27,2025-05-25,2025-04-27,Ahmed Mainuddin,pp0123,Executive Engineer,1,eligibility,1,979,5,(n),yes,yes,equipment;experience_general;experience_similar;financial_credit;financial_liquid;other,no,,,,no
100483,Tender Notice_PDFs/CDA_Tender_100483.pdf,2,Ministry of Housing and Public Works,og0001,Chittagong Development Authority,og0009,Project Director(Silimpur),og0013,,Chittagong,Chittagong,Chittagong,Kotowali,Bangladesh,031-625562,Works,NCT,TENDER,Tender - Single Lot,pd/silimpur-R/A/A/E-17,Contract Awarded,Contract Awarded,51274,Open Tendering Method (OTM),Own Fund,Own fund,,SRA,Widening and Improvement of Silimpur Residential Area (East),pr0007,e-TENDERSRA-06,"Site Development/Improvement, Retaining wall & R.C.C L-Canal & ancillary works.","Site preparation work; Construction work; Works for complete or part construction and civil engineering work;Building demolition and wrecking work and earthmoving work;Test drilling and boring work;Building construction work;Engineering works and construction works;Construction work for pipelines, communication and power lines, for highways, roads, airfields and railways; flatwork;Construction work for water projects;Construction works for plants, mining and manufacturing and for buildings relating to the oil and gas industry;Roof works and other special trade construction works",Lot wise,4000,4000,Payment through Bank,2017-05-02,2017-05-30,2017-05-02,2017-05-23,2017-05-31,2017-05-31,2017-05-31,2017-09-26,2017-08-29,Mohammad Hasan,pp0008,Project Director,1,eligibility,1,773,2,(a),yes,yes,experience_count;experience_general;experience_similar;financial_credit;financial_liquid;financial_turnover;other;subcontract,yes,1,1,Eligibility of Consultant;TDS/PDS--C. Qualification Criteria--,yes
1006947,Tender Notice_PDFs/CDA_Tender_1006947.pdf,2,Ministry of Housing and Public Works,og0001,Chittagong Development Authority,og0009,"Project Director(M.Uddin), Chittagong Development Authority",og0031,,Chattogram,Chattogram,Chittagong,Chattogram City Corporation,Bangladesh,031-624401,Goods (Framework Agreement),NCT,TENDER,Tender - Single Lot,PD/CM Banglow/E-113/2024,Re-Tendered,Re-Tendered,204772,Open Tendering Method (OTM),Own Fund,Own Fund,,Not applicable,Not applicable,pr0093,PD/CM Banglow/E-113,"Supply Furniture Materials for CDA Chairman Banglow at CDA Hill, Chattogram.","Furniture; Manufactured goods, furniture, handicrafts, special-purpose products and associated consumables; Seats, chairs and associated parts; Non-domestic furniture; Domestic furniture; Miscellaneous furniture and equipment; School furniture;",Lot wise,1000,1000,Payment through Bank,2024-08-19,2024-09-01,2024-08-19,2024-08-28,2024-09-02,2024-09-02,2024-09-02,2024-12-29,2024-12-01,A. H. M. Mesbah Uddin,pp0024,Project Director,1,eligibility,1,1015,7,n.,yes,yes,cert_vat;experience_count;experience_general;experience_similar;financial_credit;financial_liquid;financial_turnover;geographic;other,yes,1,1,Eligibility of Consultant,yes
101083,Tender Notice_PDFs/CDA_Tender_101083.pdf,2,Ministry of Housing and Public Works,og0001,Chittagong Development Authority,og0009,Project Director(DC Road),og0019,,Chittagong,Chittagong,Chittagong,Kotowali,Bangladesh,880-1819625067,Works,NCT,TENDER,Tender - Single Lot,pd/dcroad/25/est-19,Contract Awarded,Contract Awarded,51551,Open Tendering Method (OTM),Development,"Government, Own fund",,5015,Widening and Improvement of DC Road,pr0010,e-TENDERDC-06,"Construction work of affected area's boundary wall, column septic tank, water tank, seal coat, road marking and ancillary work.","Site preparation work; Construction work; Works for complete or part construction and civil engineering work;Building demolition and wrecking work and earthmoving work;Test drilling and boring work;Building construction work;Engineering works and construction works;Construction work for pipelines, communication and power lines, for highways, roads, airfields and railways; flatwork;Construction work for water projects;Construction works for plants, mining and manufacturing and for buildings relating to the oil and gas industry;Roof works and other special trade construction works",Lot wise,2000,2000,Payment through Bank,2017-05-04,2017-05-21,2017-05-04,2017-05-09,2017-05-21,2017-05-21,2017-05-21,2017-08-17,2017-07-20,Mohammad Hasan,pp0008,Project Director,1,eligibility,1,766,2,(a),yes,yes,experience_count;experience_general;experience_similar;financial_credit;financial_liquid;financial_turnover;other;subcontract,no,,,,no
1023323,Tender Notice_PDFs/CDA_Tender_1023323.pdf,2,Ministry of Housing and Public Works,og0001,Chittagong Development Authority,og0009,Project Director (CDA Square),og0010,,Chattogram,Chattogram,Chittagong,Kotowali,Bangladesh,031-625562,Works,NCT,TENDER,Tender - Single Lot,PD/CDASQR/S.P/e68,Re-Tendered,Re-Tendered,206817,Open Tendering Method (OTM),Own Fund,Own Fund,,Not applicable,Not applicable,pr0093,PD/CDAsqr/S.P/E68,"Swimming Pool, Jacuzzi, Sauna, Fountain & Ancillary Work at CDA Square Project.",Other building completion work; Building completion work;,Lot wise,2000,2000,Payment through Bank,2024-10-06,2024-10-20,2024-10-07,2024-10-14,2024-10-21,2024-10-21,2024-10-21,2025-01-17,2024-12-20,Kazi Kader Newaz,pp0006,Assistant Engineer,1,eligibility,1,1030,3,(n),yes,yes,cert_licence_class;cert_other;cert_tin;cert_trade_licence;cert_vat;experience_general;experience_similar;financial_credit;financial_liquid;financial_turnover;other;subcontract,no,,,,no
1023333,Tender Notice_PDFs/CDA_Tender_1023333.pdf,2,Ministry of Housing and Public Works,og0001,Chittagong Development Authority,og0009,"Construction Division-1, Chattogram Development Authority",og0021,2001,Chattogram,Chattogram,Chittagong,Kotowali,Bangladesh,880-189545106,Works,NCT,TENDER,Tender - Single Lot,CD1/dewanhat/remwrk/e39,Contract Awarded,Contract Awarded,204202,Open Tendering Method (OTM),Own Fund,Own Fund,,Not applicable,Not applicable,pr0093,CD1/dewanhat/rw/e/39,"Remaining Works (Civil & finishing ) at CDA Dewanhat Apartment Complex, Chattogram.",Building completion work; Construction work; Plastering work; Joinery and carpentry installation work; Floor and wall covering work; Painting and glazing work; Other building completion work;,Lot wise,2000,2000,Payment through Bank,2024-10-07,2024-10-22,2024-10-08,2024-10-15,2024-10-23,2024-10-23,2024-10-23,2025-02-18,2025-01-21,Kazi Kader Newaz,pp0006,Executive Engineer,1,eligibility,1,850,3,(n),yes,yes,cert_other;cert_tin;cert_trade_licence;cert_vat;experience_general;experience_similar;financial_credit;financial_liquid;financial_turnover;other;subcontract,no,,,,no
1028832,Tender Notice_PDFs/CDA_Tender_1028832.pdf,2,Ministry of Housing and Public Works,og0001,Chittagong Development Authority,og0009,Project Director (CDA Square),og0010,,Chattogram,Chattogram,Chittagong,Kotowali,Bangladesh,031-625562,Works,NCT,TENDER,Tender - Single Lot,PD/CDASQR/S.P/e68/1,Contract Awarded,Contract Awarded,206817,Open Tendering Method (OTM),Own Fund,Own Fund,,Not applicable,Not applicable,pr0093,PD/CDAsqr/S.P/E68,"Swimming Pool, Jacuzzi, Sauna, Fountain & Ancilary Work at CDA Square Project",Other building completion work; Building completion work;,Lot wise,2000,2000,Payment through Bank,2024-10-24,2024-11-04,2024-10-24,2024-10-30,2024-11-04,2024-11-04,2024-11-04,2025-01-31,2025-01-03,Kazi Kader Newaz,pp0006,Assistant Engineer,1,eligibility,1,961,3,(n),yes,yes,cert_other;cert_tin;cert_trade_licence;cert_vat;experience_general;experience_similar;financial_credit;financial_liquid;financial_turnover;other;subcontract,no,,,,no
1032943,Tender Notice_PDFs/CDA_Tender_1032943.pdf,2,Ministry of Housing and Public Works,og0001,Chittagong Development Authority,og0009,"Project Director(M.Uddin), Chittagong Development Authority",og0031,,Chattogram,Chattogram,Chittagong,Chattogram City Corporation,Bangladesh,031-624401,Works,NCT,TENDER,Tender - Single Lot,ExEn/CDABanglow/E-115/248,,,204772,Open Tendering Method (OTM),Own Fund,Own Fund,,Not applicable,Not applicable,pr0093,Xen/CDABanglow/E-115,"Annual Repair & Painting Work at Chief Banglow and Other Related work at CDA Hill, Chattogram.","Structural metal products; Fabricated products and materials; Construction materials and associated items; Retail trade services of construction materials; Retail trade services; Architectural, engineering, construction and related technical consultancy services;Metal structures and parts of structures;Builders joinery of metal;Construction materials;Road furniture;Sewer mains;Steel products related to construction materials;Oil country tubular goods;Pipeline, piping, pipes, casing, tubing and related items;Technical consultancy services;Architectural and related services;Engineering services;Integrated engineering services;Urban planning and landscape architectural services;Construction-related services;Engineering-related scientific and technical services",Lot wise,1000,1000,Payment through Bank,2025-03-11,2025-03-24,2025-03-11,2025-03-13,2025-03-25,2025-03-25,2025-03-25,2025-07-21,2025-06-23,A. H. M. Mesbah Uddin,pp0024,Project Director,1,eligibility,1,925,6,n.,yes,yes,experience_count;experience_similar;financial_credit;financial_liquid;financial_turnover;geographic;other;price_band,no,,,,no
