date,event,tender_id,entity,original,source_file,page
2014-12-01,notice published,15000,"Grid Maintenance Division, Comilla (PGCB)",01-Dec-2014 15:00,Tender Notice_PDFs/CDA_Tender_15000.pdf,1
2014-12-01,tender advertised,15000,OptiNet,01-Dec-2014 15:00,Contract_Awards_PDFs/Tender_15000.pdf,1
2014-12-02,pre-tender meeting ends,15000,"Grid Maintenance Division, Comilla (PGCB)",02-Dec-2014 16:00,Tender Notice_PDFs/CDA_Tender_15000.pdf,1
2014-12-02,pre-tender meeting starts,15000,"Grid Maintenance Division, Comilla (PGCB)",02-Dec-2014 10:00,Tender Notice_PDFs/CDA_Tender_15000.pdf,1
2014-12-22,last day to buy the document,15000,"Grid Maintenance Division, Comilla (PGCB)",22-Dec-2014 14:00,Tender Notice_PDFs/CDA_Tender_15000.pdf,1
2014-12-23,bid submission closes,15000,"Grid Maintenance Division, Comilla (PGCB)",23-Dec-2014 14:30,Tender Notice_PDFs/CDA_Tender_15000.pdf,1
2014-12-23,bids opened,15000,"Grid Maintenance Division, Comilla (PGCB)",23-Dec-2014 15:00,Tender Notice_PDFs/CDA_Tender_15000.pdf,1
2014-12-23,last day for bid security,15000,"Grid Maintenance Division, Comilla (PGCB)",23-Dec-2014 14:00,Tender Notice_PDFs/CDA_Tender_15000.pdf,1
2015-01-04,contract work starts,15000,OptiNet,04/01/2015,Contract_Awards_PDFs/Tender_15000.pdf,1
2015-01-20,notice published,18000,Dinajpur Road Division,20-Jan-2015 10:00,Tender Notice_PDFs/CDA_Tender_18000.pdf,1
2015-01-20,pre-tender meeting ends,18000,Dinajpur Road Division,20-Jan-2015 13:00,Tender Notice_PDFs/CDA_Tender_18000.pdf,1
2015-01-20,pre-tender meeting starts,18000,Dinajpur Road Division,20-Jan-2015 12:00,Tender Notice_PDFs/CDA_Tender_18000.pdf,1
2015-01-25,contract work completes,15000,OptiNet,25/01/2015,Contract_Awards_PDFs/Tender_15000.pdf,1
2015-02-04,notice published,18994,office of Chief Engineer ( Project & Design),04-Feb-2015 17:00,Tender Notice_PDFs/RAJUK_Tender_18994.pdf,1
2015-02-04,tender advertised,18994,ConnectBD Limited,04-Feb-2015 17:00,Contract_Awards_PDFs/Tender_18994.pdf,1
2015-02-05,pre-tender meeting starts,18994,office of Chief Engineer ( Project & Design),05-Feb-2015 17:00,Tender Notice_PDFs/RAJUK_Tender_18994.pdf,1
2015-02-10,last day to buy the document,18000,Dinajpur Road Division,10-Feb-2015 17:00,Tender Notice_PDFs/CDA_Tender_18000.pdf,1
2015-02-10,pre-tender meeting ends,18994,office of Chief Engineer ( Project & Design),10-Feb-2015 17:00,Tender Notice_PDFs/RAJUK_Tender_18994.pdf,1
2015-02-11,bid submission closes,18000,Dinajpur Road Division,11-Feb-2015 12:00,Tender Notice_PDFs/CDA_Tender_18000.pdf,1
2015-02-11,bids opened,18000,Dinajpur Road Division,11-Feb-2015 13:00,Tender Notice_PDFs/CDA_Tender_18000.pdf,1
2015-02-11,last day for bid security,18000,Dinajpur Road Division,11-Feb-2015 11:30,Tender Notice_PDFs/CDA_Tender_18000.pdf,1
2015-02-24,last day to buy the document,18994,office of Chief Engineer ( Project & Design),24-Feb-2015 17:00,Tender Notice_PDFs/RAJUK_Tender_18994.pdf,1
2015-02-25,bid submission closes,18994,office of Chief Engineer ( Project & Design),25-Feb-2015 13:00,Tender Notice_PDFs/RAJUK_Tender_18994.pdf,1
2015-02-25,bids opened,18994,office of Chief Engineer ( Project & Design),25-Feb-2015 14:30,Tender Notice_PDFs/RAJUK_Tender_18994.pdf,1
2015-02-25,last day for bid security,18994,office of Chief Engineer ( Project & Design),25-Feb-2015 12:00,Tender Notice_PDFs/RAJUK_Tender_18994.pdf,1
2015-02-26,notification of award issued,15000,OptiNet,26-Feb-2015,Contract_Awards_PDFs/Tender_15000.pdf,1
2015-03-02,notice published,20558,Dinajpur O&M Division (BWDB),02-Mar-2015 12:00,Tender Notice_PDFs/COXDA_Tender_20558.pdf,1
