"tender_id","agency","procuring_entity","package_description","record_type","bidder_name","bidder_name_normalised","bid_amount","responsive_status","qualified_status","technical_status","rejection_reason","rejected_requirement","beneficial_owner_name","ownership_percentage","owner_country","source_file","page_number","evidence_excerpt","note"
"1001782","CDA","Project Director (CDA Square)","Supply, Installation, Testing & Commissioning of Lift at CDA SQUARE Project (Lot-2).","AWARDED_BIDDER","CPDL LTD.","CPDL LTD","52490000.53","responsive","qualified","","not_applicable_won_the_contract","not_applicable","","","","Tender_1001782.pdf","1","Contract Value (Taka): 52490000.53; Name of Supplier/Contractor/Consultant: CPDL LTD.","bid amount equals the awarded contract value as printed on the award notice"
"1001843","CDA","Project Director (CDA Square)","CCTV, IP System & Fire Fighting Remaining Works at CDA SQUARE Project, Chattogram.","AWARDED_BIDDER","MS TECHNOLOGIES LIMITED","TECHNOLOGIES LTD","24247478.31","responsive","qualified","","not_applicable_won_the_contract","not_applicable","","","","Tender_1001843.pdf","1","Contract Value (Taka): 24247478.31; Name of Supplier/Contractor/Consultant: MS TECHNOLOGIES LIMITED","bid amount equals the awarded contract value as printed on the award notice"
"100483","CDA","Project Director(Silimpur)","Site Development/Improvement Retaining wall & R.C.C L-Canal & ancillary works of Silimpur R/A East","AWARDED_BIDDER","M/S. Raquib & Brothers","RAQUIB BROTHERS","53515977.89","responsive","qualified","","not_applicable_won_the_contract","not_applicable","","","","Tender_100483.pdf","1","Contract Value (Taka): 53515977.89; Name of Supplier/Contractor/Consultant: M/S. Raquib & Brothers","bid amount equals the awarded contract value as printed on the award notice"
"101083","CDA","Project Director(DC Road)","Construction work of affected areas boundary wall column septic tank water tank silk coat road marking and ancillary work under the project of widening and improvement of DC Road.","AWARDED_BIDDER","M/S. Mohshin & Brothers","MOHSHIN BROTHERS","3963689.31","responsive","qualified","","not_applicable_won_the_contract","not_applicable","","","","Tender_101083.pdf","1","Contract Value (Taka): 3963689.31; Name of Supplier/Contractor/Consultant: M/S. Mohshin & Brothers","bid amount equals the awarded contract value as printed on the award notice"
"101083","CDA","Project Director(DC Road)","Construction work of affected areas boundary wall column septic tank water tank silk coat road marking and ancillary work under the project of widening and improvement of DC Road.","UNNAMED_REJECTED_BIDDERS_AGGREGATE","","","","non_responsive","not_qualified","","","","","","","Tender_101083.pdf","1","Received: 3; Responsive: 2 (difference is the rejected count)","count is derived as received minus responsive; 1 bidder(s)"
"1023333","CDA","Construction Division-1, Chattogram Development Authority","Remaining Works at CDA Dewanhat Apartment Complex, Chattogram.","AWARDED_BIDDER","M/S. Amanat Enterprise","AMANAT ENTERPRISE","11731574.38","responsive","qualified","","not_applicable_won_the_contract","not_applicable","","","","Tender_1023333.pdf","1","Contract Value (Taka): 11731574.38; Name of Supplier/Contractor/Consultant: M/S. Amanat Enterprise","bid amount equals the awarded contract value as printed on the award notice"
"1023333","CDA","Construction Division-1, Chattogram Development Authority","Remaining Works at CDA Dewanhat Apartment Complex, Chattogram.","UNNAMED_REJECTED_BIDDERS_AGGREGATE","","","","non_responsive","not_qualified","","","","","","","Tender_1023333.pdf","1","Received: 2; Responsive: 1 (difference is the rejected count)","count is derived as received minus responsive; 1 bidder(s)"
"1028832","CDA","Project Director (CDA Square)","Swimming Pool, Jacuzzi, Sauna, Fountain & Ancilary Work at CDA Square Project","AWARDED_BIDDER","md abu musa","MD ABU MUSA","8988920.10","responsive","qualified","","not_applicable_won_the_contract","not_applicable","","","","Tender_1028832.pdf","1","Contract Value (Taka): 8988920.10; Name of Supplier/Contractor/Consultant: md abu musa","bid amount equals the awarded contract value as printed on the award notice"
"1028832","CDA","Project Director (CDA Square)","Swimming Pool, Jacuzzi, Sauna, Fountain & Ancilary Work at CDA Square Project","UNNAMED_REJECTED_BIDDERS_AGGREGATE","","","","non_responsive","not_qualified","","","","","","","Tender_1028832.pdf","1","Received: 7; Responsive: 4 (difference is the rejected count)","count is derived as received minus responsive; 3 bidder(s)"
"108836","CDA","Project Director (Muradpur Flyover)","Removal of existing 33/11/.4 KV electric pole sub-station and road crossing line from alignment and re-installation work by alternative method under construction of Muradpur 2 no. Gate and GEC Junction Flyover 2 no. gate to Lalkhan bazaar and 2 no. g","AWARDED_BIDDER","TD Trading","TD TRADING","35818234.17","responsive","qualified","","not_applicable_won_the_contract","not_applicable","","","","Tender_108836.pdf","1","Contract Value (Taka): 35818234.17; Name of Supplier/Contractor/Consultant: TD Trading","bid amount equals the awarded contract value as printed on the award notice"
"110297","CDA","Project Director (Saltgola)","Construction of 6 Storied Building with 2 basement including 20 storied Foundation integrated civil works like casting situ pile mat foundation sub-structure work super structure work sanitary and plumbing work internal electrical work installation o","AWARDED_BIDDER","The Engineers & Architects Limited","THE ENGINEERS ARCHITECTS LTD","495240760.34","responsive","qualified","","not_applicable_won_the_contract","not_applicable","","","","Tender_110297.pdf","1","Contract Value (Taka): 495240760.34; Name of Supplier/Contractor/Consultant: The Engineers & Architects Limited","bid amount equals the awarded contract value as printed on the award notice"
"110297","CDA","Project Director (Saltgola)","Construction of 6 Storied Building with 2 basement including 20 storied Foundation integrated civil works like casting situ pile mat foundation sub-structure work super structure work sanitary and plumbing work internal electrical work installation o","UNNAMED_REJECTED_BIDDERS_AGGREGATE","","","","non_responsive","not_qualified","","","","","","","Tender_110297.pdf","1","Received: 5; Responsive: 2 (difference is the rejected count)","count is derived as received minus responsive; 3 bidder(s)"
