"tender_id","tender_reference","agency","procurement_nature","contract_value_bdt","rule_code","rule_short_name","clause_cited","rule_source_file","rule_source_pdf_page","rule_source_printed_page","clause_force","clause_certainty","clause_quote_verbatim","test_applied","test_result","observed_value","required_value","severity_if_deviation","source_document_tested","tender_notice_pdf","award_notice_pdf","event_date_column_used","event_year","instrument_scope_vs_this_tender","instrument_timing_vs_this_tender","publishable_as_a_breach","publishability_reason","tender_evidence_excerpt","tender_evidence_source_file","tender_evidence_page","interpretation_limit","quote_reproduction_note","documented_fact","investigative_hypothesis","evidence_page_map","portal_self_certified_signed_in_due_time","portal_indicator_note"
"360423","PD/Office/E-55","CDA","Works","3555766.80","R01","BENEFICIAL_OWNERSHIP_NOT_PUBLISHED","ITT 5.14 and ITT 68.1, read with Format e-PG3A-C Note 1","eGP_Forensic_Engine/2026-01-04-13-47-03-e-PG3A.pdf","14, 36, 87","s.1 p.6, p.28, p.79","MANDATORY_SHALL","VERBATIM_MANDATORY_IN_CORPUS","ITT 5.14: 'A Tenderer shall provide its/their Beneficial Ownership related information, as the specified in Form e-PG3A-2, if it/they will be awarded the contract and declare their consent on publishing that information publicly following the signing of contract.' (the grammar is the draft's own) ITT 68.1: 'The Procuring Entity shall also publish, on the BPPA website or web portal, the contract-related information together with details of the beneficial ownership of the successful Tenderer. This information shall be kept posted in the notice board or websites for at least thirty (30) days.' / Format e-PG3A-C Note 1: 'For any agreement above BDT 10.00 Lac, Information on Beneficial Ownership need to be provided.'","Award notice exists and contract value exceeds BDT 10,00,000, but the notice prints no beneficial-ownership table.","DEVIATION","no ownership table printed","publication required above BDT 10.00 Lac","HIGH","AWARD_NOTICE","CDA_Tender_360423.pdf","Tender_360423.pdf","signing_date","2020","DIFFERENT_CATEGORY_STD_WORKS","CITED_INSTRUMENT_POSTDATES_EVENT_signing_date_2020","NO_CITED_INSTRUMENT_POSTDATES_THE_EVENT","The clause says 'shall', but e-PG3A is a December 2025 draft keyed to PPR 2025 and this event happened earlier. Report the pattern; do not report a breach until the rule that was in force at the time is obtained.","""Name of Supplier/Contractor/Consultant:  M/S. Gulzar Trading"" is followed immediately by ""Location of Supplier/Contractor/Consultant:  Hazi Monsur Ali Road, Mia Khan Nagar, Chittagong."". Award notices that do disclose print ""Beneficial Ownership Information :"" and a Name / Beneficial Ownership (%) / Country table between these two lines. On this notice there is nothing between them.","","1","The BDT 10 lakh floor and the publication duty are document-specific to e-PG3A, dated December 2025. Decisive timing check run this session: all 60 award notices that DO print an ownership table were signed in 2025 (13) or 2026 (47) - not one before. So the field became operable only in 2025, and 459 of the 522 undisclosed contracts were signed 2015-2024, before any instrument in this corpus required it. THE DEFENSIBLE FIGURE IS 63 of 102: within 2025-2026, where disclosure is demonstrably possible, 63 above-floor contracts still print no table against 39 that do. Use 522 only as the raw count, always with this split attached.","Quotes follow the clause's READING ORDER, which is not always the character order produced by `pdftotext -layout`. Three artefacts break a naive literal search and none of them means the quote is wrong. (1) e-PG3A sets clause headings in a left margin column, so the heading is interleaved into the middle of the clause sentence: ITT 61.1 extracts as 'Immediately, but no later than 24 hours, after issuing the / Contract Awarding / Notification of Award ...', and ITT 21.1 as '... the following shall / for LTM Tenders / apply:'. (2) Words are hyphenated across line breaks, e.g. ITT 11.5 prints 'one-' then 'third'. (3) ITT 50.3 prints its formula in mathematical-italic Unicode (U+1D465, U+1D451) which is transcribed here in ASCII as [x-Sd ]. To verify any quote, read the cited page as printed rather than grepping the extracted text.","Document says: no ownership table printed. Rule says: publication required above BDT 10.00 Lac.","Not asserted. The BDT 10 lakh floor and the publication duty are document-specific to e-PG3A, dated December 2025. Decisive timing check run this session: all 60 award notices that DO print an ownership table were","","",""
"360423","PD/Office/E-55","CDA","Works","3555766.80","R02","CONTRACT_SIGNED_OUTSIDE_STATUTORY_BAND","ITT 67.2 read with the TDS entry for ITT 67.2, which cites Rule 123(9) of the PPR 2025","eGP_Forensic_Engine/2026-01-04-13-47-03-e-PG3A.pdf","35, 40","27, 32","MANDATORY_SHALL","VERBATIM_MANDATORY_IN_CORPUS","ITT 67.2: 'Within the timeline mentioned in the TDS from the issuance of the NOA but not later than the date specified therein, the successful Tenderer and the Procuring Entity shall sign the contract.' TDS for ITT 67.2: 'within [mention number of days as per Rule 123(9) of the PPR 2025: 14/21/28] days of issuance of the Notification of Award (NoA)' - 14 days up to BDT 50 million, 21 days BDT 50-250 million, 28 days above BDT 250 million.","days_noa_to_signing exceeds the band for the contract's value.","COMPLIANT","11 days from NOA to signing","14 days (up to BDT 50 million, by awarded value used as proxy for the estimate)","HIGH","AWARD_NOTICE","CDA_Tender_360423.pdf","Tender_360423.pdf","signing_date","2020","DIFFERENT_CATEGORY_STD_WORKS","CITED_INSTRUMENT_POSTDATES_EVENT_signing_date_2020","","","""Date of Notification of Award:  12-Jan-2020"" / ""Date of Contract Signing:  23-Jan-2020"" / the notice's own field ""Was the Contract Singed in due time?"" answers ""yes"". Advertised ""Date of Advertisement:  30-Sep-2019 10:00"".","","1","Two substitutions. The rule keys off the ESTIMATED cost, which is published nowhere in the corpus, so awarded contract value is used as a proxy. And PPR 2025 cannot have governed a contract signed before 2025: of the 383 deviations, only 56 were signed in 2025-2026, and 327 were signed 2015-2024. Those 327 rows are marked CITED_INSTRUMENT_POSTDATES_EVENT and must not be counted as breaches of Rule 123(9). The underlying PATTERN is still real and does not depend on the clause: median overrun 13 days past the cap, mean 20.5, and a maximum of 278 days past cap. The two exhibits are tender 199368, signed 292 days after the NOA, and a batch of THIRTEEN contracts signed at exactly 150 days - 236241, 236242, 248616, 248617, 248618, 248619, 248621, 248622, 248623, 248625, 248630, 248631, 248633 - every one of them RAJUK, every one to M/S. Sany Construction, and every one signed on the same day, 25-Dec-2019. (An earlier draft of this note said 'five contracts at 150 days'; the recount during verification returned 13.) To convert the pattern into a violation count, obtain the contract-signing rule of the PPR 2008 regime, which is absent from this corpus.","Quotes follow the clause's READING ORDER, which is not always the character order produced by `pdftotext -layout`. Three artefacts break a naive literal search and none of them means the quote is wrong. (1) e-PG3A sets clause headings in a left margin column, so the heading is interleaved into the middle of the clause sentence: ITT 61.1 extracts as 'Immediately, but no later than 24 hours, after issuing the / Contract Awarding / Notification of Award ...', and ITT 21.1 as '... the following shall / for LTM Tenders / apply:'. (2) Words are hyphenated across line breaks, e.g. ITT 11.5 prints 'one-' then 'third'. (3) ITT 50.3 prints its formula in mathematical-italic Unicode (U+1D465, U+1D451) which is transcribed here in ASCII as [x-Sd ]. To verify any quote, read the cited page as printed rather than grepping the extracted text.","Document says: 11 days from NOA to signing. Rule says: 14 days (up to BDT 50 million, by awarded value used as proxy for the estimate).","Not asserted. Two substitutions. The rule keys off the ESTIMATED cost, which is published nowhere in the corpus, so awarded contract value is used as a proxy. And PPR 2025 cannot have governed a contract signed bef","","yes","The portal's own indicator is computed against a flat 28-day test: over the 591 award notices that answer the field and print both dates, it reads yes if and only if the gap is 28 days or fewer, with zero exceptions. Rule 123(9) sets 14 days up to BDT 50 million, 21 days from 50 to 250 million and 28 days above that, so on a contract under BDT 250 million a yes here does not mean the contract was signed in time. No clause in the corpus governs how the portal computes this field, so this is reported as a defect in the indicator, not as a rule broken by the buyer."
"360423","PD/Office/E-55","CDA","Works","3555766.80","R05","FIXED_PRICE_BAND_RESPONSIVENESS_RULE","ITT 50.3 and ITT 50.6","eGP_Forensic_Engine/2026-01-04-13-47-03-e-PG3A.pdf","30, 31","22, 23","MANDATORY_SHALL","VERBATIM_MANDATORY_IN_CORPUS","ITT 50.3: 'Finally, the lower limit of acceptable prices shall be [x-Sd ]. Any tender quoted below this limit shall be considered as a significantly low-priced tender and shall be treated as financially non-responsive and rejected.' ITT 50.6: 'In the case of only one technically responsive tender ... If the deviation of the evaluated price of the responsive tender from the official estimate exceeds twenty percent (20%), such tender shall be deemed non-responsive.' TRANSCRIPTION NOTE: the PDF prints the formula in mathematical-italic characters as [U+1D465 MINUS S U+1D451], i.e. x-bar minus one standard deviation, with a space before the closing bracket; it is rendered here in ASCII, so a literal string search of the PDF for 'x-Sd' will not match. No other character in this quote is altered.","Notice imposes its own fixed percentage band (typically 10% above or below the estimate) as an automatic ground of non-responsiveness.","DEVIATION","notice imposes its own fixed percentage band as automatic non-responsiveness","computed lower limit [x-Sd] under ITT 50.3; 20% against the official estimate under ITT 50.6","HIGH","TENDER_NOTICE","CDA_Tender_360423.pdf","Tender_360423.pdf","publication_date","2019","DIFFERENT_CATEGORY_STD_WORKS","CITED_INSTRUMENT_POSTDATES_EVENT_publication_date_2019","NO_CITED_INSTRUMENT_POSTDATES_THE_EVENT","The clause says 'shall', but e-PG3A is a December 2025 draft keyed to PPR 2025 and this event happened earlier. Report the pattern; do not report a breach until the rule that was in force at the time is obtained.","of tender Secuirity and action againist tender under reguler of PPA 2008 7. If Quated Rate is found more thane 10 (Ten) % above or below Estimated cost, Tender will be Non-Respnsive","CDA_Tender_360423.pdf","1","The standard document sets a COMPUTED lower limit from the actual spread of bids, and a 20% figure only where a single responsive tender exists. A flat 10% both ways is half the standard document's figure and replaces its statistical test. But ITT 50.3-50.6 are December 2025 text; the notices run 2019-2025, so the machinery they depart from may not have existed yet. Cite as a departure from the current standard, not as a 2019 breach.","Quotes follow the clause's READING ORDER, which is not always the character order produced by `pdftotext -layout`. Three artefacts break a naive literal search and none of them means the quote is wrong. (1) e-PG3A sets clause headings in a left margin column, so the heading is interleaved into the middle of the clause sentence: ITT 61.1 extracts as 'Immediately, but no later than 24 hours, after issuing the / Contract Awarding / Notification of Award ...', and ITT 21.1 as '... the following shall / for LTM Tenders / apply:'. (2) Words are hyphenated across line breaks, e.g. ITT 11.5 prints 'one-' then 'third'. (3) ITT 50.3 prints its formula in mathematical-italic Unicode (U+1D465, U+1D451) which is transcribed here in ASCII as [x-Sd ]. To verify any quote, read the cited page as printed rather than grepping the extracted text.","Document says: notice imposes its own fixed percentage band as automatic non-responsiveness. Rule says: computed lower limit [x-Sd] under ITT 50.3; 20% against the official estimate under ITT 50.6.","Not asserted. The standard document sets a COMPUTED lower limit from the actual spread of bids, and a 20% figure only where a single responsive tender exists. A flat 10% both ways is half the standard document's fi","eligibility p.1; bid counts p.1; contract value p.1; winner p.1","",""
"360423","PD/Office/E-55","CDA","Works","3555766.80","R06","SPECIFIC_EXPERIENCE_BAR_ABOVE_RECOMMENDED_BAND","TDS note to ITT 13.1(b)","eGP_Forensic_Engine/2026-01-04-13-47-03-e-PG3A.pdf","38","30","RECOMMENDED_BAND","TDS_NOTE_IN_CORPUS","'The minimum specific experience as Supplier in supply of similar Goods of at least [state number] contract(s) successfully completed within the last [state number] years, each with a value of at least Tk. [state amount] ... [the minimum value is recommended to be between 60 and 80 percent of the estimated cost of the proposed supply]'","Published minimum past-contract value exceeds 80% of the awarded contract value.","COMPLIANT","past-contract bar = 0.70x awarded contract value","recommended 0.60-0.80x of the estimated cost","MEDIUM","TENDER_NOTICE_BAR_VS_AWARD_NOTICE_VALUE","CDA_Tender_360423.pdf","Tender_360423.pdf","publication_date","2019","DIFFERENT_CATEGORY_STD_WORKS","CITED_INSTRUMENT_POSTDATES_EVENT_publication_date_2019","","","1. The minimum number of years of general experience of the Tenderer in the construction works shall be 5 (Five) years. 2. The minimum specific experience in Similar works of at least 1(One) contract(s) of Public (Government, Semi Government & Autonomous) Building Construction successfully completed within the last 5 (Five) years in each with a value of at least Tk. 25 (Twenty Five) Lacs. 3. The r...","CDA_Tender_360423.pdf","1","A recommendation, not a duty - exceeding it is not unlawful. And the band is a share of the ESTIMATED cost, which is absent, so awarded value stands in for it.","Quotes follow the clause's READING ORDER, which is not always the character order produced by `pdftotext -layout`. Three artefacts break a naive literal search and none of them means the quote is wrong. (1) e-PG3A sets clause headings in a left margin column, so the heading is interleaved into the middle of the clause sentence: ITT 61.1 extracts as 'Immediately, but no later than 24 hours, after issuing the / Contract Awarding / Notification of Award ...', and ITT 21.1 as '... the following shall / for LTM Tenders / apply:'. (2) Words are hyphenated across line breaks, e.g. ITT 11.5 prints 'one-' then 'third'. (3) ITT 50.3 prints its formula in mathematical-italic Unicode (U+1D465, U+1D451) which is transcribed here in ASCII as [x-Sd ]. To verify any quote, read the cited page as printed rather than grepping the extracted text.","Document says: past-contract bar = 0.70x awarded contract value. Rule says: recommended 0.60-0.80x of the estimated cost.","Not asserted. A recommendation, not a duty - exceeding it is not unlawful. And the band is a share of the ESTIMATED cost, which is absent, so awarded value stands in for it.","eligibility p.1; bid counts p.1; contract value p.1; winner p.1","",""
"360423","PD/Office/E-55","CDA","Works","3555766.80","R07","FINANCIAL_BAR_ABOVE_RECOMMENDED_BAND","TDS note to ITT 14.1(b)","eGP_Forensic_Engine/2026-01-04-13-47-03-e-PG3A.pdf","38","30","RECOMMENDED_BAND","TDS_NOTE_IN_CORPUS","'The minimum amount of financial resources as liquid asset or working capital or credit line(s) ... shall be Tk [state amount] ... [the minimum value is recommended to be between 80 and 100 percent of the estimated cost of the proposed supply]'","Published minimum liquid-asset / working-capital requirement exceeds 100% of the awarded contract value.","DEVIATION","financial bar = 1.41x awarded contract value","recommended 0.80-1.00x of the estimated cost","MEDIUM","TENDER_NOTICE_BAR_VS_AWARD_NOTICE_VALUE","CDA_Tender_360423.pdf","Tender_360423.pdf","publication_date","2019","DIFFERENT_CATEGORY_STD_WORKS","CITED_INSTRUMENT_POSTDATES_EVENT_publication_date_2019","NO_RECOMMENDED_BAND_IS_NOT_A_DUTY","The figure comes from a Tender Data Sheet note that uses the word 'recommended' or sets a ceiling for guidance. Exceeding it is a departure from the standard document, not an unlawful act.","(Five) years. 4. The minimum amount of liquid assets i.e. working capital or credit line(s) of the Tenderer shall be Tk 15 (Fifteen) Lac. 5. Tender Document containing insufficient/Â incomplete information will be rejected. 6. Furnishing of any false, Fake & forged document or information by a tender shall result in rejection of his tender and may lead to forfeiture of tender Secuirity and action ...","CDA_Tender_360423.pdf","1","Same two limits as R06: recommendation only, and contract value substitutes for the estimate. Distribution of the 148 departures: median 1.62x the awarded value, maximum 7.53x, with 50 above 2x and 27 above 3x - so unlike R08 this is not a set of trivial overshoots. Two rows were CORRECTED during verification: tenders 119545 and 113428 had ratios of 80436.99x and 43650.22x because the extractor applied the Lac multiplier to an already complete numeral (and on 119545 also read the Minimum Tender Capacity clause instead of the liquid-asset clause). Their true ratios are 0.37x and 0.44x, both COMPLIANT, which moved this rule from 150 deviations to 148. No other ratio column in the master contained a comparable artefact.","Quotes follow the clause's READING ORDER, which is not always the character order produced by `pdftotext -layout`. Three artefacts break a naive literal search and none of them means the quote is wrong. (1) e-PG3A sets clause headings in a left margin column, so the heading is interleaved into the middle of the clause sentence: ITT 61.1 extracts as 'Immediately, but no later than 24 hours, after issuing the / Contract Awarding / Notification of Award ...', and ITT 21.1 as '... the following shall / for LTM Tenders / apply:'. (2) Words are hyphenated across line breaks, e.g. ITT 11.5 prints 'one-' then 'third'. (3) ITT 50.3 prints its formula in mathematical-italic Unicode (U+1D465, U+1D451) which is transcribed here in ASCII as [x-Sd ]. To verify any quote, read the cited page as printed rather than grepping the extracted text.","Document says: financial bar = 1.41x awarded contract value. Rule says: recommended 0.80-1.00x of the estimated cost.","Not asserted. Same two limits as R06: recommendation only, and contract value substitutes for the estimate. Distribution of the 148 departures: median 1.62x the awarded value, maximum 7.53x, with 50 above 2x and 27","eligibility p.1; bid counts p.1; contract value p.1; winner p.1","",""
"360423","PD/Office/E-55","CDA","Works","3555766.80","R08","TENDER_SECURITY_ABOVE_3PCT_CEILING","TDS note to ITT 31.1","eGP_Forensic_Engine/2026-01-04-13-47-03-e-PG3A.pdf","39","31","CEILING_IN_TDS_NOTE","TDS_NOTE_IN_CORPUS","'The amount of the Tender Security shall be [state amount] in favour of [state the name of the beneficiary] [not exceeding three (3) percent of the official cost estimate but as a fixed amount]'","Tender security exceeds 3% of the awarded contract value.","COMPLIANT","tender security = 2.76% of awarded contract value","not exceeding 3% of the official cost estimate","MEDIUM","TENDER_NOTICE_SECURITY_VS_AWARD_NOTICE_VALUE","CDA_Tender_360423.pdf","Tender_360423.pdf","publication_date","2019","DIFFERENT_CATEGORY_STD_WORKS","CITED_INSTRUMENT_POSTDATES_EVENT_publication_date_2019","","","the notice's own lot table, under the column headed ""Tender/Proposal security (Amount in BDT)"", prints: ""1  Renovation and Others Related Works of Electrical Sub-station and Rest House of CDA  CDA Building,  98000  03-Nov-2019  05-Jan-2020""","","1","'not exceeding three (3) percent' is a real ceiling but it is expressed against the official cost estimate. Because the estimate is normally above the awarded price, a security above 3% of the awarded price can still sit under 3% of the estimate. The overshoot is mostly small: of the 171, the median is 3.26% and the maximum 6.32%; only 13 exceed 5%, and those 13 are the only rows where the estimate would have to be more than two-thirds above the awarded price for the security to be lawful. Treat the other 158 as a question to put to the agency, not a finding.","Quotes follow the clause's READING ORDER, which is not always the character order produced by `pdftotext -layout`. Three artefacts break a naive literal search and none of them means the quote is wrong. (1) e-PG3A sets clause headings in a left margin column, so the heading is interleaved into the middle of the clause sentence: ITT 61.1 extracts as 'Immediately, but no later than 24 hours, after issuing the / Contract Awarding / Notification of Award ...', and ITT 21.1 as '... the following shall / for LTM Tenders / apply:'. (2) Words are hyphenated across line breaks, e.g. ITT 11.5 prints 'one-' then 'third'. (3) ITT 50.3 prints its formula in mathematical-italic Unicode (U+1D465, U+1D451) which is transcribed here in ASCII as [x-Sd ]. To verify any quote, read the cited page as printed rather than grepping the extracted text.","Document says: tender security = 2.76% of awarded contract value. Rule says: not exceeding 3% of the official cost estimate.","Not asserted. 'not exceeding three (3) percent' is a real ceiling but it is expressed against the official cost estimate. Because the estimate is normally above the awarded price, a security above 3% of the awarded","","",""
"360423","PD/Office/E-55","CDA","Works","3555766.80","R10","LACK_OF_EFFECTIVE_COMPETITION_NOT_ACTED_ON","ITT 56.2(b)","eGP_Forensic_Engine/2026-01-04-13-47-03-e-PG3A.pdf","32-33","24-25","PERMISSIVE_CAN","VERBATIM_PERMISSIVE_IN_CORPUS","'All Tenders can be rejected, if - (b) there is evidence of lack of effective competition; such as non-participation by a number of potential Tenderers' PAGINATION NOTE: the stem 'All Tenders can be rejected, if -' is the last line of PDF page 32; sub-paragraphs (a) to (f) are printed on PDF page 33. The two are quoted here as one clause, so a search of page 32 alone will not return the sub-paragraph.","Tender drew a single bid, or ended with a single responsive bidder, and was awarded anyway.","CONDITION_PRESENT_DISCRETION_NOT_A_BREACH","bids received 4, responsive 1","ITT 56.2(b) permits rejection of all tenders; ITT 56.3 preserves the award at market price","NOT_A_BREACH_DISCRETION","AWARD_NOTICE","CDA_Tender_360423.pdf","Tender_360423.pdf","signing_date","2020","DIFFERENT_CATEGORY_STD_WORKS","CITED_INSTRUMENT_POSTDATES_EVENT_signing_date_2020","","","No. of Tenders/Proposals Sold: 5; Received: 4; Responsive: 1","CDA_Tender_360423.pdf","1","'can be rejected' - the clause creates a power, not a duty, and ITT 56.3 expressly preserves the award where the lowest evaluated price matches the market price. NOTHING in this row is a violation. The reportable question is whether the Tender Evaluation Committee considered 56.2(b) and what the Head of the Procuring Entity decided - which is answerable only by the TEC minutes, and those are not in the corpus.","Quotes follow the clause's READING ORDER, which is not always the character order produced by `pdftotext -layout`. Three artefacts break a naive literal search and none of them means the quote is wrong. (1) e-PG3A sets clause headings in a left margin column, so the heading is interleaved into the middle of the clause sentence: ITT 61.1 extracts as 'Immediately, but no later than 24 hours, after issuing the / Contract Awarding / Notification of Award ...', and ITT 21.1 as '... the following shall / for LTM Tenders / apply:'. (2) Words are hyphenated across line breaks, e.g. ITT 11.5 prints 'one-' then 'third'. (3) ITT 50.3 prints its formula in mathematical-italic Unicode (U+1D465, U+1D451) which is transcribed here in ASCII as [x-Sd ]. To verify any quote, read the cited page as printed rather than grepping the extracted text.","Document says: bids received 4, responsive 1. Rule says: ITT 56.2(b) permits rejection of all tenders; ITT 56.3 preserves the award at market price.","Not asserted. 'can be rejected' - the clause creates a power, not a duty, and ITT 56.3 expressly preserves the award where the lowest evaluated price matches the market price. NOTHING in this row is a violation. Th","eligibility p.1; bid counts p.1; contract value p.1; winner p.1","",""
"360423","PD/Office/E-55","CDA","Works","3555766.80","R11","SINGLE_RESPONSIVE_TENDER_ESTIMATE_TEST_UNVERIFIABLE","ITT 50.6","eGP_Forensic_Engine/2026-01-04-13-47-03-e-PG3A.pdf","31","23","MANDATORY_SHALL_BUT_UNVERIFIABLE","VERBATIM_MANDATORY_IN_CORPUS","'In the case of only one technically responsive tender, the above methodology shall not be applied; instead, the lowest evaluated price obtained shall be directly compared with the official cost estimate. If the deviation ... exceeds twenty percent (20%), such tender shall be deemed non-responsive.'","Exactly one responsive tender, so ITT 50.6 governs - but the official cost estimate the clause requires is published in none of the 1,805 documents.","MANDATED_TEST_UNVERIFIABLE","one technically responsive tender; official cost estimate not published in any document","direct comparison of the evaluated price with the official cost estimate, 20% threshold","HIGH_AS_A_TRANSPARENCY_FINDING","AWARD_NOTICE","CDA_Tender_360423.pdf","Tender_360423.pdf","signing_date","2020","DIFFERENT_CATEGORY_STD_WORKS","CITED_INSTRUMENT_POSTDATES_EVENT_signing_date_2020","","","","","","This is not a finding that the comparison was skipped. It is a finding that the one test the rule prescribes for exactly this situation cannot be checked by anyone outside the agency, because the benchmark it turns on is never published.","Quotes follow the clause's READING ORDER, which is not always the character order produced by `pdftotext -layout`. Three artefacts break a naive literal search and none of them means the quote is wrong. (1) e-PG3A sets clause headings in a left margin column, so the heading is interleaved into the middle of the clause sentence: ITT 61.1 extracts as 'Immediately, but no later than 24 hours, after issuing the / Contract Awarding / Notification of Award ...', and ITT 21.1 as '... the following shall / for LTM Tenders / apply:'. (2) Words are hyphenated across line breaks, e.g. ITT 11.5 prints 'one-' then 'third'. (3) ITT 50.3 prints its formula in mathematical-italic Unicode (U+1D465, U+1D451) which is transcribed here in ASCII as [x-Sd ]. To verify any quote, read the cited page as printed rather than grepping the extracted text.","Document says: one technically responsive tender; official cost estimate not published in any document. Rule says: direct comparison of the evaluated price with the official cost estimate, 20% threshold.","Not asserted. This is not a finding that the comparison was skipped. It is a finding that the one test the rule prescribes for exactly this situation cannot be checked by anyone outside the agency, because the benc","","",""
"360423","PD/Office/E-55","CDA","Works","3555766.80","R12","PERFORMANCE_SECURITY_TIMING","ITT 63.2, and the TDS entry for ITT 62.1 citing Rule 123(7) of the PPR 2025","eGP_Forensic_Engine/2026-01-04-13-47-03-e-PG3A.pdf","35, 40","27, 32","MANDATORY_SHALL","VERBATIM_MANDATORY_IN_CORPUS","ITT 63.2: 'Within fourteen (14) days from the date of receipt of the NOA, the successful Tenderer shall furnish the Performance Security'. But the TDS for ITT 62.1 states a sliding scale in WORKING days per Rule 123(7) of the PPR 2025: 7 working days up to BDT 50 million, 10 working days BDT 50-250 million, 14 working days above BDT 250 million.","NOT TESTABLE. The performance-security field is blank on all 645 award notices.","NOT_TESTABLE_DATA_ABSENT","performance-security field on the award notice is blank","7/10/14 working days by value band, per Rule 123(7); ITT 63.2 says 14 days","NOT_TESTABLE","AWARD_NOTICE","CDA_Tender_360423.pdf","Tender_360423.pdf","signing_date","2020","DIFFERENT_CATEGORY_STD_WORKS","CITED_INSTRUMENT_POSTDATES_EVENT_signing_date_2020","","","","","","Worth reporting for a second reason: the standard document contradicts itself. ITT 63.2 says a flat fourteen (14) days; its own TDS says 7/10/14 WORKING days by value band. The 14-day figure is the top band, not the general rule.","Quotes follow the clause's READING ORDER, which is not always the character order produced by `pdftotext -layout`. Three artefacts break a naive literal search and none of them means the quote is wrong. (1) e-PG3A sets clause headings in a left margin column, so the heading is interleaved into the middle of the clause sentence: ITT 61.1 extracts as 'Immediately, but no later than 24 hours, after issuing the / Contract Awarding / Notification of Award ...', and ITT 21.1 as '... the following shall / for LTM Tenders / apply:'. (2) Words are hyphenated across line breaks, e.g. ITT 11.5 prints 'one-' then 'third'. (3) ITT 50.3 prints its formula in mathematical-italic Unicode (U+1D465, U+1D451) which is transcribed here in ASCII as [x-Sd ]. To verify any quote, read the cited page as printed rather than grepping the extracted text.","Document says: performance-security field on the award notice is blank. Rule says: 7/10/14 working days by value band, per Rule 123(7); ITT 63.2 says 14 days.","Not asserted. Worth reporting for a second reason: the standard document contradicts itself. ITT 63.2 says a flat fourteen (14) days; its own TDS says 7/10/14 WORKING days by value band. The 14-day figure is the to","","",""
"360423","PD/Office/E-55","CDA","Works","3555766.80","R14","LOWEST_PRICE_VS_OFFICIAL_ESTIMATE","ITT 56.2(a)","eGP_Forensic_Engine/2026-01-04-13-47-03-e-PG3A.pdf","32-33","24-25","PERMISSIVE_CAN","VERBATIM_PERMISSIVE_IN_CORPUS","'All Tenders can be rejected, if - (a) the price of the lowest evaluated Tender exceeds the official cost estimate, provided the estimate is realistic' PAGINATION NOTE: the stem is the last line of PDF page 32 and sub-paragraph (a) is on PDF page 33.","NOT TESTABLE. estimated_tender_value is empty in all 1,155 rows, because no document in the corpus publishes it, and individual bid amounts are never printed.","NOT_TESTABLE_DATA_ABSENT","estimated_tender_value = empty (published in no document in the corpus); individual bid amounts never printed","comparison of the lowest evaluated price against the official cost estimate","NOT_TESTABLE","AWARD_NOTICE","CDA_Tender_360423.pdf","Tender_360423.pdf","signing_date","2020","DIFFERENT_CATEGORY_STD_WORKS","CITED_INSTRUMENT_POSTDATES_EVENT_signing_date_2020","","","","","","The estimate blackout disables R14, R11's arithmetic, and the proper form of R06, R07 and R08 simultaneously. It is the single most consequential gap in the corpus.","Quotes follow the clause's READING ORDER, which is not always the character order produced by `pdftotext -layout`. Three artefacts break a naive literal search and none of them means the quote is wrong. (1) e-PG3A sets clause headings in a left margin column, so the heading is interleaved into the middle of the clause sentence: ITT 61.1 extracts as 'Immediately, but no later than 24 hours, after issuing the / Contract Awarding / Notification of Award ...', and ITT 21.1 as '... the following shall / for LTM Tenders / apply:'. (2) Words are hyphenated across line breaks, e.g. ITT 11.5 prints 'one-' then 'third'. (3) ITT 50.3 prints its formula in mathematical-italic Unicode (U+1D465, U+1D451) which is transcribed here in ASCII as [x-Sd ]. To verify any quote, read the cited page as printed rather than grepping the extracted text.","Document says: estimated_tender_value = empty (published in no document in the corpus); individual bid amounts never printed. Rule says: comparison of the lowest evaluated price against the official cost estimate.","Not asserted. The estimate blackout disables R14, R11's arithmetic, and the proper form of R06, R07 and R08 simultaneously. It is the single most consequential gap in the corpus.","","",""
